entity_key,canonical_name,locations,size_tier,n_states,states,primary_state,loc_employees_sum,loc_sales_sum,corp_employees,corp_sales,year_established,school,special_needs,charter,parents,website,phone,lead_exec,hq,sample_address,name_variants,nontarget_reason,review_flag,gov_flag,credit_score,is_target
SWEATT TOURS,Sweatt Tours,1,single,1,LA,LA,3,268000,0,0,,0,0,1,,,(318) 222-0058,,"Shreveport, LA","1824 Joe Louis Blvd, Shreveport, LA 71107",Sweatt Tours(1),,,0,B,1
LYFE COACH,Lyfe Coach,1,single,1,WA,WA,3,268000,0,0,,0,0,1,,,Not Available,,"Dupont, WA","2901 Hyland St, Dupont, WA 98327",Lyfe Coach(1),,,0,B,1
PACIFIC TRANSPORTATION,Pacific Transportation,1,single,1,WA,WA,3,268000,0,0,,0,0,1,,,(253) 536-6538,,"Lakewood, WA","10910 26th Ave S, Lakewood, WA 98499",Pacific Transportation(1),,,0,B,1
J M VERA SCHOOL BUS SERVICE,J & M Vera School Bus Svc Inc,1,single,1,FL,FL,6,267000,0,0,,1,0,0,,Www77.Veraschoolbus.Com,(305) 822-0615,Jose Vera (Owner),"Hialeah, FL","2597 W 70th St, Hialeah, FL 33016",J & M Vera School Bus Svc Inc(1),,,0,B+,1
ROXBOROUGH BUS LINE,Roxborough Bus Line LTD,1,single,1,MA,MA,3,267000,0,0,,0,0,1,,,(844) 716-8287,,,,Roxborough Bus Line LTD(1),,,0,B+,1
CHARTER TEN TRANSPORTATION,Charter Ten Transportation,1,single,1,MI,MI,3,267000,0,0,,0,0,1,,,(586) 533-5515,,,,Charter Ten Transportation(1),,,0,B,1
MACOMB TRANSPORTATION SERVICE,Macomb Transportation Svc,1,single,1,MI,MI,3,267000,0,0,,0,0,1,,,(586) 307-6646,,,,Macomb Transportation Svc(1),,,0,B,1
METRO MOTOR COACH,Metro Motor Coach,1,single,1,MI,MI,3,267000,0,0,1911,0,0,1,,Metromotorcoach.Com,(313) 355-2575,Lou Calcaterra (Owner),"Shelby Township, MI","50805 Rizzo Dr, Shelby Township, MI 48315",Metro Motor Coach(1),,,0,B,1
METRO MOTOR COACH TRANSPORTATION GRP,Metro Motor Coach Trnsprtn GRP,1,single,1,MI,MI,3,267000,0,0,,0,0,1,,Metromotorcoach.Com,(888) 375-9666,,"Shelby Township, MI","53831 Sophia Dr, Shelby Township, MI 48316",Metro Motor Coach Trnsprtn GRP(1),,,0,C+,1
HEARTLAND TRAILWAYS,Heartland Trailways,1,single,1,MO,MO,3,267000,0,0,,0,0,1,,Heartlandtrailways.Com,(800) 279-1734,,,,Heartland Trailways(1),,,0,B,1
SENIOR INDEPENDENCE TRANSPORTATION,Senior Independence Trans,1,single,1,OH,OH,5,267000,0,0,1979,0,1,0,,,(440) 954-8343,,"Willoughby, OH","38879 Mentor Ave # A, Willoughby, OH 44094",Senior Independence Trans(1),,,0,B,1
NACOGDOCHES INDEPENDENT SCHOOL,Nacogdoches Independent Sch,1,single,1,TX,TX,7,267000,0,0,,1,0,0,,Nacisd.Org,(936) 552-8780,,"Nacogdoches, TX","3613 NE Stallings Dr, Nacogdoches, TX 75965",Nacogdoches Independent Sch(1),,,0,B+,1
PPS TRANSPORTATION SERVICE,PPS Transportation Svc,1,single,1,VA,VA,8,267000,0,0,,1,0,0,,,(757) 393-8269,Gary Lillie (Manager),"Portsmouth, VA","801 Crawford St, Portsmouth, VA 23704",PPS Transportation Svc(1),,,0,A,1
UP LIFT,Up Lift LLC,1,single,1,VA,VA,3,267000,0,0,,0,0,1,,,(757) 431-1393,,,,Up Lift LLC(1),,,0,B,1
CLEAR SOUND ENTRTN PARTY RNTLS,Clear Sound Entrtn-Party Rntls,1,single,1,IL,IL,3,266000,0,0,,0,0,1,,Clearsoundpartyrentals.Com,(314) 479-8587,Cedrick Webb (CEO),"Belleville, IL","1704 N Belt W, Belleville, IL 62226",Clear Sound Entrtn-Party Rntls(1),,,0,B,1
DIXIELAND TOURS CRUISES,Dixieland Tours & Cruises,1,single,1,LA,LA,3,266000,0,0,,0,0,1,,Dixielandtours.Com,(504) 832-8400,,"Terrytown, LA","1720 Stumpf Blvd, Terrytown, LA 70056",Dixieland Tours & Cruises(1),,,0,B,1
NOLA NIGHTS PARTY BUS,Nola Nights Party Bus LLC,1,single,1,LA,LA,3,266000,0,0,2019,0,0,1,,,Not Available,,"Harvey, LA","2130 York Ave, Harvey, LA 70058",Nola Nights Party Bus LLC(1),,,0,B,1
NOLA NITE S PARTY BUS,Nola Nite's Party Bus LLC,1,single,1,LA,LA,3,266000,0,0,,0,0,1,,,Not Available,,"Metairie, LA","4508 James Dr, Metairie, LA 70003",Nola Nite's Party Bus LLC(1),,,0,B,1
P H BUS SERVICE,P & H Bus Svc,1,single,1,LA,LA,3,266000,0,0,,0,0,1,,,(504) 436-0585,Jessie L Holmes (Owner),"Westwego, LA","900 E Krueger Ln, Westwego, LA 70094",P & H Bus Svc(1),,,0,B+,1
ENGLISH COACH,English Coach,1,single,1,MD,MD,3,266000,0,0,,0,0,1,,,(240) 578-4173,,"Frederick, MD","133 Willowdale Dr, Frederick, MD 21702",English Coach(1),,,0,B,1
MARYLAND BASKETBALL COACHES,Maryland Basketball Coaches,1,single,1,MD,MD,3,266000,0,0,2016,0,0,1,,,Not Available,Michael A Stoner (Owner),"New Market, MD","6718 Accipiter Dr, New Market, MD 21774",Maryland Basketball Coaches(1),,,0,B,1
PIONEER COACH TRAVEL,Pioneer Coach & Travel Inc,1,single,1,MD,MD,3,266000,0,0,,0,0,1,,,(301) 662-6860,,"Frederick, MD","1 Wormans Mill Ct, Frederick, MD 21701",Pioneer Coach & Travel Inc(1),,,0,B+,1
ED S PARTY BUS,Ed's Party Bus LLC,1,single,1,OH,OH,3,266000,0,0,2017,0,0,1,,Edspartybus.Com,Not Available,Jose E Ramirez (Manager),"Hamilton, OH","5068 Tri County View Dr, Hamilton, OH 45011",Ed's Party Bus LLC(1),,,0,B,1
DURHAM TRANSPORTATION OF WA,Durham Transportation Of WA,1,single,1,WA,WA,3,266000,0,0,,0,0,1,,,(425) 745-3544,,"Everett, WA","2911 California St, Everett, WA 98201",Durham Transportation Of WA(1),,,0,B,1
INVITECHANGE FAX,Invitechange Fax,1,single,1,WA,WA,3,266000,0,0,,0,0,1,,Invitechange.Com,(425) 778-6937,Janet Harvey (Other),"Edmonds, WA","110 3rd Ave N, Edmonds, WA 98020",Invitechange Fax(1),,,0,B,1
HALL TOURS,Hall Tours,1,single,1,AL,AL,3,265000,0,0,,0,0,1,,,(334) 215-9222,,,,Hall Tours(1),,,0,B+,1
AVANTE LUXURY LIMOUSINE SED,Avante Luxury Limousine & Sed,1,single,1,CA,CA,4,265000,0,0,,0,1,0,,,(209) 525-8807,,"Modesto, CA","3104 Wollam Dr, Modesto, CA 95350",Avante Luxury Limousine & Sed(1),,,0,B,1
BAQI LIMOUSINE,Baqi Limousine,1,single,1,CA,CA,3,265000,0,0,,0,1,0,,,(650) 871-0469,,"South San Francisco, CA","110 Knou Cir, South San Francisco, CA 94080",Baqi Limousine(1),,,0,C+,1
BE MOBILE TRANSPORTATION,Be Mobile Transportation,1,single,1,CA,CA,3,265000,0,0,,0,1,0,,,(650) 993-4722,Avetis Avetisyan (Vice President),"Daly City, CA","66 San Pedro Rd, Daly City, CA 94014",Be Mobile Transportation(1),,,0,C+,1
CENTRAL VLY MRTUARY TRNSPT SERVICE,Central Vly Mrtuary TRNSPT Svc,1,single,1,CA,CA,4,265000,0,0,,0,1,0,,,(209) 529-2170,Thomas Henderson (Owner),"Modesto, CA","PO Box 354, Modesto, CA 95353",Central Vly Mrtuary TRNSPT Svc(1),,,0,B,1
COL WHEELCHAIR,Col Wheelchair Inc,1,single,1,CA,CA,3,265000,0,0,,0,1,0,,Fedlinks.Com,(650) 534-6937,Bhan Singh Sandhu (CEO),"South San Francisco, CA","2234 Kenry Way, South San Francisco, CA 94080",Col Wheelchair Inc(1),,,0,B,1
ECHARTERBUS,Echarterbus,1,single,1,CA,CA,4,265000,0,0,,0,1,1,,,(707) 374-4355,,"Benicia, CA","3001 Bayshore Rd # 17, Benicia, CA 94510",Echarterbus(1),,,0,B,1
FRISCO LIMO,Frisco Limo,1,single,1,CA,CA,3,265000,0,0,,0,1,0,,,(650) 777-9191,,"Burlingame, CA","1919 Garden Dr # 302, Burlingame, CA 94010",Frisco Limo(1),,,0,C+,1
LALUNE LIMOUSINE,Lalune Limousine,1,single,1,CA,CA,3,265000,0,0,,0,1,0,,,(415) 681-3761,George Onknown (Owner),"San Francisco, CA","PO Box 283016, San Francisco, CA 94128",Lalune Limousine(1),,,0,C+,1
MAJESTIC LIMOUSINE,Majestic Limousine,1,single,1,CA,CA,3,265000,0,0,,0,1,0,,,(415) 239-7155,Issam Ayesh (Owner),"San Francisco, CA","PO Box 281645, San Francisco, CA 94128",Majestic Limousine(1),,,0,C+,1
MB GATEWAY LIMOUSINE SERVICE,MB Gateway Limousine Svc,1,single,1,CA,CA,3,265000,0,0,,0,1,0,,,(650) 340-9171,,"San Mateo, CA","439 N Claremont St # 2, San Mateo, CA 94401",MB Gateway Limousine Svc(1),,,0,C+,1
MEDXPRESS,Medxpress,1,single,1,CA,CA,4,265000,0,0,,0,1,0,,,(707) 427-3430,,"Fairfield, CA","1642 N Texas St # D, Fairfield, CA 94533",Medxpress(1),,,0,B,1
MORNING STAR CHARTER,Morning Star Charter,1,single,1,CA,CA,3,265000,0,0,2004,0,0,1,,,(760) 397-4126,Jack R Allison (Owner),"Thermal, CA","85850 Middleton St, Thermal, CA 92274",Morning Star Charter(1),,,0,B+,1
RED ROSES LIMOUSINE SERVICE,Red Roses Limousine Svc,1,single,1,CA,CA,3,265000,0,0,,0,1,0,,,(650) 359-8128,David Calderon (Owner),"San Francisco, CA","PO Box 280356, San Francisco, CA 94128",Red Roses Limousine Svc(1),,,0,C+,1
SACTOWN BIKE BUS,Sactown Bike Bus LLC,1,single,1,CA,CA,6,265000,0,0,2017,1,0,0,,,Not Available,Sean Mcfaul (Manager),"Sacramento, CA","505 22nd St, Sacramento, CA 95816",Sactown Bike Bus LLC(1),,,0,B+,1
SIGNATURE LIMO,Signature Limo,1,single,1,CA,CA,3,265000,0,0,,0,1,0,,Booksignature.Com,(650) 522-8888,Heshan Sayed (Principal),"San Mateo, CA","400 E Hillsdale Blvd, San Mateo, CA 94403",Signature Limo(1),,,0,C+,1
28 TRANSPORTATION,28 Trans LLC,1,single,1,FL,FL,4,265000,0,0,,0,1,0,,,Not Available,Alessandro Janitschek (CEO),"Debary, FL","204 Daventry Dr, Debary, FL 32713",28 Trans LLC(1),,,0,B,1
AROUND T LIMOUSINE,Around T Limousine Inc,1,single,1,FL,FL,4,265000,0,0,,0,1,0,,,(386) 441-4753,Jack Reitz (Principal),"Ormond Beach, FL","17 Essex Dr, Ormond Beach, FL 32176",Around T Limousine Inc(1),,,0,B,1
WE CARE WHEELCHAIR TRANSPORT,We Care Wheelchair Transport,1,single,1,FL,FL,4,265000,0,0,2019,0,1,0,,,Not Available,Deborah A Evers (Manager),"Deland, FL","1260 East Pkwy, Deland, FL 32724",We Care Wheelchair Transport(1),,,0,B,1
ACE LUXURY LIMOUSINES,Ace Luxury Limousines,1,single,1,IL,IL,4,265000,0,0,,0,1,0,,,(309) 827-8834,Tami Quinn (Owner),"Bloomington, IL","1326 13th St, Bloomington, IL 61704",Ace Luxury Limousines(1),,,0,C+,1
CASABLANCA LIMOUSINE,Casablanca Limousine,1,single,1,IL,IL,4,265000,0,0,,0,1,0,,,(309) 723-2138,Abdellah Elhabbassi (Owner),"Colfax, IL","424 Sunset Dr, Colfax, IL 61728",Casablanca Limousine(1),,,0,C+,1
OKAFORD TRANSPORT SERVICE,Okaford Transport Svc,1,single,1,MD,MD,4,265000,0,0,,0,1,0,,Okaford.Com,(443) 653-3523,Clement Okafor (President),"Baltimore, MD","5844 Belair Rd # 1, Baltimore, MD 21206",Okaford Transport Svc(1),,,0,B,1
WHEELCHAIR VANS FOR ALL,Wheelchair Vans For All,1,single,1,MS,MS,4,265000,0,0,,0,1,0,,,Not Available,Becky Stewart (Owner),"Gulfport, MS","11536 Hatter Ln, Gulfport, MS 39503",Wheelchair Vans For All(1),,,0,B,1
EXCUTIVE SERVICE,Excutive Service LLC,1,single,1,OR,OR,6,265000,0,0,,0,1,0,,,(503) 397-0213,Howard Kem (Other),"Deer Island, OR","65642 Island Rd, Deer Island, OR 97054",Excutive Service LLC(1),,,0,B,1
MILWAUKEE CHARTER BUS,Milwaukee Charter Bus Co,1,single,1,WI,WI,3,265000,0,0,,0,0,1,,Milwaukeecharterbuscompany.Com,(414) 369-6343,Charlie Connelly (Other),"Milwaukee, WI","790 N Milwaukee St # 345, Milwaukee, WI 53202",Milwaukee Charter Bus Co(1),,,0,B+,1
PARTY ON WHEELS,Party On Wheels LLC,1,single,1,WI,WI,3,265000,0,0,2019,0,0,1,,,Not Available,,"Milwaukee, WI","9124 N 85th St, Milwaukee, WI 53224",Party On Wheels LLC(1),,,0,B,1
A A SUSIE S LIMOUSINES,A A Susie's Limousines,1,single,1,FL,FL,3,264000,0,0,,0,0,1,,Susieslimo.Com,(352) 337-6896,,"Gainesville, FL","6261 Powers Ave, Gainesville, FL 32601",A A Susie's Limousines(1),,,0,B,1
AMERICAN MOTOR COACHES,American Motor Coaches,1,single,1,FL,FL,3,264000,0,0,2003,0,0,1,,Americanmotorcoaches.Com,(407) 855-1904,Ervin Guzman (Owner),"Kissimmee, FL","4846 Lakes Edge Ln, Kissimmee, FL 34744",American Motor Coaches(1),,,0,B+,1
ANYWHERE BUS SERVICE,Anywhere Bus Svc,1,single,1,FL,FL,3,264000,0,0,,0,0,1,,,(407) 343-9799,,,,Anywhere Bus Svc(1),,,0,B,1
GAINESVILLE CHARTER BUS,Gainesville Charter Bus Co,1,single,1,FL,FL,3,264000,0,0,2018,0,0,1,,,Not Available,,"Gainesville, FL","2833 NW 41st St # 110, Gainesville, FL 32606",Gainesville Charter Bus Co(1),,,0,B,1
GAINESVILLE LIFE COACH,Gainesville Life Coach LLC,1,single,1,FL,FL,3,264000,0,0,,0,0,1,,,Not Available,,"Gainesville, FL","709 SW 27th St, Gainesville, FL 32607",Gainesville Life Coach LLC(1),,,0,B,1
GMM,GMM Inc,1,single,1,FL,FL,3,264000,0,0,,0,0,1,,,(407) 239-6966,,,,GMM Inc(1),,,0,B,1
GRAHAMS TOURS,Grahams Tours Inc,1,single,1,FL,FL,3,264000,0,0,,0,0,1,,,(352) 415-2646,James Graham (Owner),"Gainesville, FL","3631 Moncrief Rd, Gainesville, FL 32605",Grahams Tours Inc(1),,,0,B,1
HIDDEN SECRETS LUXURY PARTY BS,Hidden Secrets Luxury Party BS,1,single,1,FL,FL,3,264000,0,0,,0,0,1,,,Not Available,Danielle S Harris (Manager),"Kissimmee, FL","3275 S John Young Pkwy Pmb 629, Kissimmee, FL 34746",Hidden Secrets Luxury Party BS(1),,,0,B+,1
UNIVERSITY CHARTER BUS,University Charter Bus Co,1,single,1,FL,FL,3,264000,0,0,,0,0,1,,Universitycharterbus.Com,(352) 371-4872,,"Gainesville, FL","1504 NE 5th Pl, Gainesville, FL 32641",University Charter Bus Co(1),,,0,B+,1
COMMUNITY TRANSPORTATION SERVICE,Community Transportation Svc,1,single,1,NH,NH,4,264000,0,0,,0,0,1,,,(603) 542-0048,,"Newport, NH","Route 11, Newport, NH 03773",Community Transportation Svc(1),,,0,B+,1
SUNSHINE COACH,Sunshine Coach,1,single,1,FL,FL,3,263000,0,0,,0,0,1,,,(850) 588-8338,,"Panama City Beach, FL","7151 Front Beach Rd, Panama City Beach, FL 32413",Sunshine Coach(1),,,0,B,1
ROBERSON TRANSPORTATION GROUP,Roberson Transportation Group,1,single,1,GA,GA,3,263000,0,0,,0,0,1,,,(770) 838-9700,,,,Roberson Transportation Group(1),,,0,B,1
WASHINGTON LIMOUSINE,Washington Limousine Inc,1,single,1,IL,IL,4,263000,0,0,,0,1,0,,,(618) 235-1515,George Washington (Owner),"Swansea, IL","163 Pine Dale Dr, Swansea, IL 62226",Washington Limousine Inc(1),,,0,C+,1
DAILY GRACE MEDICAL TRSPRTN,Daily Grace Medical TRSPRTN,1,single,1,MI,MI,4,263000,0,0,,0,1,0,,,(734) 547-5292,,"Ypsilanti, MI","881 Cliffs Dr, Ypsilanti, MI 48198",Daily Grace Medical TRSPRTN(1),,,0,C+,1
3 IN 1 LIMOUSINE,3 In 1 Limousine,1,single,1,MO,MO,4,263000,0,0,,0,1,0,,,(314) 383-2111,Darrell Rainey (President),"Saint Louis, MO","4408 Nelson Dr, Saint Louis, MO 63121",3 In 1 Limousine(1),,,0,C+,1
U AUTO BEQUIK,U Auto Bequik LLC,1,single,1,MO,MO,4,263000,0,0,,0,1,0,,,Not Available,,"Saint Louis, MO","10352 Castle Dr, Saint Louis, MO 63136",U Auto Bequik LLC(1),,,0,B,1
RURAL METRO AMBULANCE SERVICE,Rural/Metro Ambulance Svc,1,single,1,NE,NE,4,263000,0,0,,0,1,0,,,(402) 551-0205,,,,Rural/Metro Ambulance Svc(1),,,0,B,1
KOSTI SCHOOL TRANSPORTATION,Kosti School Transportation,1,single,1,NJ,NJ,3,263000,0,0,,1,0,0,,,(973) 482-0700,,,,Kosti School Transportation(1),,,0,B,1
COACH JODI PATRICK,Coach Jodi Patrick LLC,1,single,1,NY,NY,3,263000,0,0,2021,0,0,1,,,(716) 261-5565,Jodi Deeb (Manager),"Buffalo, NY","1967 Wehrle Dr # 1, Buffalo, NY 14221",Coach Jodi Patrick LLC(1),,,0,B+,1
D TRANSPORT OF WNY,D C Transport Of Wny Inc,1,single,1,NY,NY,3,263000,0,0,,0,0,1,,,(716) 602-0714,,,,D C Transport Of Wny Inc(1),,,0,B,1
CHARIOT LIMOUSINE,Chariot Limousine,1,single,1,OH,OH,5,263000,0,0,,0,1,0,,,(513) 625-8911,Charlene Gardner (Partner),"Goshen, OH","6012 Newtonsville Rd, Goshen, OH 45122",Chariot Limousine(1),,,0,B,1
LATTA SCHOOL BUS SHOP,Latta School Bus Shop,1,single,1,SC,SC,9,263000,0,0,,1,0,0,,Ed.Sc.Gov,(843) 423-1142,Curtis Melton (Manager),"Latta, SC","7452 Latta Hwy, Latta, SC 29565",Latta School Bus Shop(1),,,0,A,1
FIRST CLASS LIMOUSINE SERVICE,First Class Limousine Svc,1,single,1,VA,VA,4,263000,0,0,,0,1,0,,,(703) 631-8177,Patricia Ramey (President),"Manassas, VA","10148 Lake Jackson Dr, Manassas, VA 20111",First Class Limousine Svc(1),,,0,B,1
ALEXANDER HOUSE,Alexander House,1,single,1,CO,CO,2,262000,0,0,,0,0,1,,,(303) 840-1871,Greg Alexander (CEO),"Parker, CO","12577 2nd St, Parker, CO 80134",Alexander House(1),,,0,B,1
APEX LIMOUSINE,Apex Limousine Inc,1,single,1,FL,FL,4,262000,0,0,,0,1,0,,,(305) 271-7477,Chester Blackburn (President),"Miami, FL","PO Box 694997, Miami, FL 33269",Apex Limousine Inc(1),,,0,B,1
ART,Art,1,single,1,FL,FL,4,262000,0,0,2004,0,1,0,,Artransportation.Net,(305) 636-3616,Marcelo A Pineiro (Vice President),"Aventura, FL","20533 Biscayne Blvd # 1342, Aventura, FL 33180",Art(1),,,0,B,1
TASHA SERVICE,Tasha Services,1,single,1,FL,FL,4,262000,0,0,,0,1,0,,Artransportation.Net,(305) 636-3616,Frank Maran (Manager),"Aventura, FL","20533 Biscayne Blvd # 1342, Aventura, FL 33180",Tasha Services(1),,,0,B,1
ANSON COUNTY SCHOOLS TRANSPORTATION,Anson County Schools Trnsprtn,1,single,1,NC,NC,9,262000,0,0,2014,1,0,0,,Ansonschools.Org,(704) 694-2925,Micheal Freeman (Administrator),"Wadesboro, NC","320 Camden Rd, Wadesboro, NC 28170",Anson County Schools Trnsprtn(1),,,0,A,1
DISABLED VETERANS PAMILICO,Disabled Veterans Pamilico Co,1,single,1,NC,NC,5,262000,0,0,,0,1,0,,,(252) 745-0440,,"Bayboro, NC","119 Chinchilla Dr, Bayboro, NC 28515",Disabled Veterans Pamilico Co(1),,,0,B,1
WOODHOUSE COACH,Woodhouse Coach LLC,1,single,1,TX,TX,3,262000,0,0,,0,0,1,,,Not Available,Kim Trull (Owner),"Boerne, TX","908 S Main St, Boerne, TX 78006",Woodhouse Coach LLC(1),,,0,B,1
INDEPENDENCE HEALTHCARE,Independence Healthcare,1,single,1,AR,AR,4,261000,0,0,,0,1,0,,,(501) 623-4422,Mark Braziel (Owner),"Hot Springs National Park, AR","3911 Central Ave # H, Hot Springs National Park, AR 71913",Independence Healthcare(1),,,0,B,1
HAPPY RIDES,Happy Rides LLC,1,single,1,CA,CA,4,261000,0,0,2019,0,1,0,,Happyridesinc.Com,(707) 961-6062,Lori K Enriquez (Owner),"Fort Bragg, CA","26577 N Highway 1, Fort Bragg, CA 95437",Happy Rides LLC(1),,,0,B,1
MAXIFUN TOURS,Maxifun Tours,1,single,1,IL,IL,3,261000,0,0,,0,0,1,,,(217) 753-5305,,"Springfield, IL","2629 Griffiths Ave, Springfield, IL 62702",Maxifun Tours(1),,,0,B+,1
SHIFT TECHNOLOGY WHICH,Shift Technology Inc Which,1,single,1,MA,MA,4,261000,0,0,,1,0,0,,,Not Available,,"Boston, MA","321 Summer St # 7, Boston, MA 02210",Shift Technology Inc Which(1),,,0,B+,1
A J TRAVEL AGENCY,A & J Travel Agency,1,single,1,MD,MD,3,261000,0,0,,0,0,1,,,(410) 939-2670,,"Havre De Grace, MD","130 Market St, Havre De Grace, MD 21078",A & J Travel Agency(1),,,0,B+,1
B LIFESTYLE COACHING,C B Lifestyle Coaching LLC,1,single,1,MD,MD,3,261000,0,0,2016,0,0,1,,,Not Available,Kenneth L Brown (Owner),"Edgewood, MD","817 Windstream Way # C, Edgewood, MD 21040",C B Lifestyle Coaching LLC(1),,,0,B,1
PAGE EDWARDS,Page L Edwards,1,single,1,MD,MD,3,261000,0,0,,0,0,1,,,(410) 734-6902,,"Churchville, MD","3203 Snake Ln, Churchville, MD 21028",Page L Edwards(1),,,0,B+,1
PARTY BUS BALTIMORE,Party Bus Baltimore LLC,1,single,1,MD,MD,3,261000,0,0,,0,0,1,,,Not Available,Alicia Boone-Coleman (Manager),"Belcamp, MD","1256 Independence Sq, Belcamp, MD 21017",Party Bus Baltimore LLC(1),,,0,B+,1
SEPTRAN,Septran Inc,1,single,1,MN,MN,6,261000,0,0,,1,0,0,,,(952) 435-8707,Roger Jensen (Manager),"Burnsville, MN","1745 Estates Trl, Burnsville, MN 55306",Septran Inc(1),,,0,B+,1
FELICITY FRANKLIN LOCAL SCHOOL,Felicity Franklin Local Sch,1,single,1,OH,OH,7,261000,0,0,,1,0,0,,Felicityschools.Org,(513) 876-2155,,"Felicity, OH","105 Market St, Felicity, OH 45120",Felicity Franklin Local Sch(1),,,0,B+,1
HATFIELD,Hatfield & Co Inc,1,single,1,OH,OH,3,261000,0,0,,0,0,1,,,Not Available,,"Akron, OH","121 S Main St # 200, Akron, OH 44308",Hatfield & Co Inc(1),,,0,B,1
PORTERS PARTY BUS,Porters Party Buses LLC,1,single,1,OH,OH,3,261000,0,0,2015,0,0,1,,,Not Available,Jeff Sizemore (Owner),"Stow, OH","4157 Beckley Rd, Stow, OH 44224",Porters Party Buses LLC(1),,,0,B,1
R X COACH,R X Coach,1,single,1,OH,OH,3,261000,0,0,,0,0,1,,,Not Available,,"Akron, OH","282 Morningview Ave, Akron, OH 44305",R X Coach(1),,,0,B,1
RIVERSIDE COMMUNITY SCHOOL,Riverside Community School Inc,1,single,1,OH,OH,3,261000,0,0,,1,0,1,,,Not Available,,"Akron, OH","121 S Main St # 200, Akron, OH 44308",Riverside Community School Inc(1),,,0,B,1
DI COSTANZO G BUS CHARTER,Di Costanzo G Bus Charter,1,single,1,RI,RI,3,261000,0,0,,0,0,1,,,(800) 672-6705,,"Warwick, RI","115 Seacrest Ln, Warwick, RI 02889",Di Costanzo G Bus Charter(1),,,0,B,1
AMERICAN BUS LINE,American Bus Line Inc,1,single,1,VA,VA,3,261000,0,0,,0,0,1,,,(757) 547-5040,Ronnie Speller (President),"Chesapeake, VA","1611 Freeman Ave, Chesapeake, VA 23324",American Bus Line Inc(1),,,0,B+,1
J DIAMOND,J Diamond Inc,1,single,1,VA,VA,3,261000,0,0,,0,0,1,,Agapetourbus.Com,Not Available,,"Chesapeake, VA","805 Live Oak Dr # 104, Chesapeake, VA 23320",J Diamond Inc(1),,,0,B+,1
TRUFFLE SHUTTLE,Truffle Shuttle,1,single,1,VA,VA,3,261000,0,0,,0,0,1,,,(757) 724-1428,,,,Truffle Shuttle(1),,,0,B+,1
LOYCO COACH,Loyco Coach LLC,1,single,1,WI,WI,4,261000,0,0,,0,0,1,,,Not Available,Leon M Loy (Owner),"Stitzer, WI","11143 Annaton Rd, Stitzer, WI 53825",Loyco Coach LLC(1),,,0,B+,1
MILLENNIUM TOURS CHARTER SERVICE,Millennium Tours Charter Svc,1,single,1,MD,MD,3,260000,0,0,,0,0,1,,,(301) 855-0607,James Taylor (Owner),"Chesapeake Beach, MD","3055 Beaver Dam Rd, Chesapeake Beach, MD 20732",Millennium Tours Charter Svc(1),,,0,B+,1
MONTGOMERY COUNTY PUBLIC SCHOOL,Montgomery County Public Sch,1,single,1,MD,MD,5,260000,0,0,,1,0,0,,Montgomeryschoolsmd.Org,(301) 929-6906,,"Silver Spring, MD","1800 Randolph Rd, Silver Spring, MD 20902",Montgomery County Public Sch(1),,,0,B+,1
SPRIGGS CARROLL REV,Spriggs Carroll Rev,1,single,1,MD,MD,3,260000,0,0,,0,0,1,,,(301) 855-2158,Carroll H Spriggs (Owner),"Sunderland, MD","964 Claggett Rd, Sunderland, MD 20689",Spriggs Carroll Rev(1),,,0,B+,1
BRUMANT MEDICAL TRANSPORTATION SERVICE,Brumant Medical Trnsprtn Svc,1,single,1,NC,NC,5,260000,0,0,,0,1,0,,Brumantmedicaltransportation.Com,(336) 223-4965,Trenel A Brumant (President),"Burlington, NC","621 Meadowtop Cir, Burlington, NC 27217",Brumant Medical Trnsprtn Svc(1),,,0,B,1
AUTO BUS DENVER FUDSA,Auto Buses Denver Fudsa LLC,1,single,1,TX,TX,3,260000,0,0,,0,0,1,,,Not Available,Sergio Soto (Owner),"El Paso, TX","3129 E San Antonio Ave, El Paso, TX 79905",Auto Buses Denver Fudsa LLC(1),,,0,B,1
EL PASO LOS ANGELES LIMO EXP,El Paso Los Angeles Limo Exp,1,single,1,TX,TX,3,260000,0,0,,0,0,1,,,(915) 542-4547,,,,El Paso Los Angeles Limo Exp(1),,,0,B+,1
SUNWEST CHARTER TOURS,Sunwest Charter & Tours,1,single,1,TX,TX,3,260000,0,0,,0,0,1,,,(915) 585-7197,,"El Paso, TX","6621 Bon, El Paso, TX 79912",Sunwest Charter & Tours(1),,,0,B,1
MKE SHUTTLE,Mke Shuttle LLC,1,single,1,WI,WI,3,260000,0,0,2018,0,0,1,,Mkeshuttle.Com,Not Available,Steve Malak (Manager),"Waukesha, WI","909 Blackstone Ave # 206, Waukesha, WI 53186",Mke Shuttle LLC(1),,,0,B+,1
WATERFORD USD MNTNC TRANSPORTATION,Waterford USD Mntnc & Trnsprtn,1,single,1,CA,CA,6,259000,0,0,,1,0,0,,,(209) 874-9795,Suzanne Bauer (Exec Director),"Waterford, CA","200 D St, Waterford, CA 95386",Waterford USD Mntnc & Trnsprtn(1),,,0,A,1
A PUREHEART INDEPENDENCE,A Pureheart Independence Inc,1,single,1,FL,FL,3,259000,0,0,,0,0,1,,,(863) 603-2100,,,,A Pureheart Independence Inc(1),,,0,B,1
