rank,score,canonical_name,primary_state,hq,size_tier,locations,employees,revenue_est,year_established,school,special_needs,website,phone,lead_exec,credit_score,data_confidence,rationale,sample_address,_sf,_su,_ql,_ind,_rel
1,98.5,Northstar Bus Lines LLC,MN,"Maple Grove, MN",single,1,200,10161000,1962,1,0,Northstarbuslines.Com,(763) 425-2542,Matt Regan (Owner),A+,1.0,200 emp; $10.2M rev; est 1962 (64y); single; web+phone; school,"11800 95th Ave N, Maple Grove, MN 55369",100,100,100,100,90
4363,55.2,Roll Dice Enterprises,CA,"Lodi, CA",single,1,3,221000,,0,1,,(209) 369-1313,Kenneth Kollman (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"480 S Cherokee Ln # B, Lodi, CA 95240",40,50,35,100,75
4364,55.2,A & G Activity Svc,CA,"Los Angeles, CA",single,1,3,220000,,0,1,,(213) 763-0500,,B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"1314 W 12th St, Los Angeles, CA 90015",40,50,35,100,75
4365,55.2,Aanonymous Limo Sedan Svc,CA,"Burbank, CA",single,1,3,220000,,0,1,,(818) 563-3030,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"226 W Tujunga Ave # 210, Burbank, CA 91502",40,50,35,100,75
4366,55.2,About Town Limousine,CA,"Pacific Palisades, CA",single,1,3,220000,,0,1,,(310) 454-3228,Joe Domenico (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 1576, Pacific Palisades, CA 90272",40,50,35,100,75
4367,55.2,Ace Executive Limousine Svc,CA,"Los Angeles, CA",single,1,3,220000,,0,1,,(310) 391-6999,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"3501 Sawtelle Blvd, Los Angeles, CA 90066",40,50,35,100,75
4368,55.2,All Pro Transportation Svc,CA,"Inglewood, CA",single,1,3,220000,,0,1,,(323) 777-5300,Phillip Sutton (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 91925, Inglewood, CA 90305",40,50,35,100,75
4369,55.2,Any Limo Svc,CA,"Los Angeles, CA",single,1,3,220000,,0,1,,(213) 383-3347,Sung Park (Other),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"550 S Gramercy Pl # 401, Los Angeles, CA 90020",40,50,35,100,75
4370,55.2,Carey Limo Weislaw Machal,CA,"Los Angeles, CA",single,1,3,220000,,0,1,,(310) 474-6195,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"1652 Malcolm Ave, Los Angeles, CA 90024",40,50,35,100,75
4371,55.2,Coachworld LTD Limousine Sales,CA,"Santa Monica, CA",single,1,3,220000,,0,1,,(310) 399-6886,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"2960 Neilson Way # 201, Santa Monica, CA 90405",40,50,35,100,75
4372,55.2,Coast Limousine Inc,CA,"Los Angeles, CA",single,1,3,220000,,0,1,,(310) 559-1616,Dennis Jones (President),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"1505 Barry Ave # 209, Los Angeles, CA 90025",40,50,35,100,75
4373,55.2,Conquest Limousine,CA,"North Hills, CA",single,1,3,220000,,0,1,,(818) 893-3714,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"9206 Langdon Ave, North Hills, CA 91343",40,50,35,100,75
4374,55.2,Embassy Limousine Svc,CA,"Granada Hills, CA",single,1,3,220000,,0,1,,(818) 360-2337,Micheal Tosseky (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 292, Granada Hills, CA 91344",40,50,35,100,75
4375,55.2,Gaju Limousine,CA,"Los Angeles, CA",single,1,3,220000,,0,1,,(213) 388-0444,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"358 S Gramercy Pl # 107, Los Angeles, CA 90020",40,50,35,100,75
4376,55.2,Golden Arrow Limousine,CA,"Covina, CA",single,1,3,220000,,0,1,,(626) 938-1055,Hany Besada (Principal),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"565 E Rue Royale St, Covina, CA 91723",40,50,35,100,75
4377,55.2,Golden Limo Svc,CA,"Los Angeles, CA",single,1,3,220000,,0,1,,(213) 365-0188,Myung Park (Principal),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"515 S Harvard Blvd # 212, Los Angeles, CA 90020",40,50,35,100,75
4378,55.2,Jam Distributor & Express Limo,CA,"Los Angeles, CA",single,1,3,220000,,0,1,,(310) 204-0646,Majid Ghonouie (Partner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"3526 Mentone Ave # 5, Los Angeles, CA 90034",40,50,35,100,75
4379,55.2,Lloyds Limo Svc,CA,"Venice, CA",single,1,3,220000,,0,1,,(310) 396-5018,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"663 San Juan Ave, Venice, CA 90291",40,50,35,100,75
4380,55.2,Lokie Limousine,CA,"Inglewood, CA",single,1,3,220000,,0,1,,(323) 756-0585,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"10947 Ardath Ave, Inglewood, CA 90303",40,50,35,100,75
4381,55.2,Lords Executive Limousine Svc,CA,"Sunland, CA",single,1,3,220000,,0,1,,(818) 446-0914,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"10726 Sherman Grove Ave, Sunland, CA 91040",40,50,35,100,75
4382,55.2,Lux Limo Svc,CA,"Mission Hills, CA",single,1,3,220000,,0,1,,(818) 895-7037,Arnold Garcia (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 950938, Mission Hills, CA 91395",40,50,35,100,75
4383,55.2,Luxur Wave Limousine,CA,"Los Angeles, CA",single,1,3,220000,,0,1,,(323) 464-7637,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"1815 N Serrano Ave # 312, Los Angeles, CA 90027",40,50,35,100,75
4384,55.2,Mancuso Limousine Svc,CA,"Arcadia, CA",single,1,3,220000,,0,1,,(626) 446-6621,Delores Mancuso (Partner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"586 W Huntington Dr # A, Arcadia, CA 91007",40,50,35,100,75
4385,55.2,Onstar Limousine Svc,CA,"Los Angeles, CA",single,1,3,220000,,0,1,,(323) 292-3004,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"3309 W Lawson, Los Angeles, CA 90043",40,50,35,100,75
4386,55.2,Precious Cargo,CA,"Los Angeles, CA",single,1,3,220000,,0,1,,(323) 778-0608,,B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"1704 W Manchester Ave # 203, Los Angeles, CA 90047",40,50,35,100,75
4387,55.2,Primo Class Limousine,CA,"North Hollywood, CA",single,1,3,220000,,0,1,,(818) 364-2975,Robert Longacre (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"10733 Chicita St, North Hollywood, CA 91602",40,50,35,100,75
4388,55.2,RLS Limousine Svc,CA,"Marina Del Rey, CA",single,1,3,220000,,0,1,,(310) 302-1027,Robert Susswein (Principal),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"4151 Via Marina # 316, Marina Del Rey, CA 90292",40,50,35,100,75
4389,55.2,Sea Breze Lmsne Chauffeur Svc,CA,"Inglewood, CA",single,1,3,220000,,0,1,,(323) 758-2247,Rochelle Lewis (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 9088, Inglewood, CA 90305",40,50,35,100,75
4390,55.2,Silver Car & Limousine Svc,CA,"Van Nuys, CA",single,1,3,220000,,0,1,,(818) 779-1200,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"6740 Vesper Ave, Van Nuys, CA 91405",40,50,35,100,75
4391,55.2,So Cal Medical Tranz-Ill,CA,,single,1,3,220000,,0,1,,(626) 304-9999,,B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,,40,50,35,100,75
4392,55.2,St Anthony Medical Trnsprtn,CA,,single,1,3,220000,,0,1,,(310) 952-1200,,B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,,40,50,35,100,75
4393,55.2,Stage Coach West,CA,"Valley Village, CA",single,1,3,220000,,0,1,,(818) 980-6608,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"12321 Riverside Dr # 203, Valley Village, CA 91607",40,50,35,100,75
4394,55.2,Teresa S Mama Limo Svc,CA,"Burbank, CA",single,1,3,220000,,0,1,,(818) 567-2636,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"1025 N Fairview St, Burbank, CA 91505",40,50,35,100,75
4395,55.2,Vogue Limousine Svc Inc,CA,"Pasadena, CA",single,1,3,220000,,0,1,,(626) 577-2111,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"427 S Marcrop Ave 6, Pasadena, CA 91101",40,50,35,100,75
4396,55.2,City-Yellow Checker Cab Co,TX,,single,1,3,219000,,0,1,,(432) 682-1661,,B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,,40,50,35,100,75
4397,55.2,Care E Me Wheelchair,WA,,single,1,3,219000,,0,1,,(360) 420-1442,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,,40,50,35,100,75
4398,55.2,Toms Liberty Svc,CA,"Carmel, CA",single,1,3,218000,,0,1,,(831) 624-4020,Christophe Wade (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 5053, Carmel, CA 93921",40,50,35,100,75
4399,55.2,R CS Limousine Svc,OR,"Klamath Falls, OR",single,1,4,218000,,0,1,,(541) 273-1331,,B,0.5,4 emp; $0.2M rev; year n/a; single; phone; special-needs,"4070 Adelaide Ave # B, Klamath Falls, OR 97603",40,50,35,100,75
4400,55.2,Avanti Limousine,CA,"San Diego, CA",single,1,3,217000,,0,1,,(619) 296-9962,Jose Peres (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 83188, San Diego, CA 92138",40,50,35,100,75
4401,55.2,Fidelity Transportation,CA,"San Diego, CA",single,1,3,217000,,0,1,,(619) 517-5649,John Zarafat (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 927872, San Diego, CA 92192",40,50,35,100,75
4402,55.2,Go Bob Go,CA,"San Diego, CA",single,1,3,217000,,0,1,,(619) 806-9100,Bob Gunia (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 12926, San Diego, CA 92112",40,50,35,100,75
4403,55.2,Gold Star Limousine Svc,CA,"San Diego, CA",single,1,3,217000,,0,1,,(619) 234-9178,John Chester (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 122891, San Diego, CA 92112",40,50,35,100,75
4404,55.2,Rockys Desert Limousine,CA,"Vista, CA",single,1,3,217000,,0,1,,(760) 630-5207,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"1205 N Santa Fe Ave # 27, Vista, CA 92084",40,50,35,100,75
4405,55.2,Thompsons Limousine Svc,CA,"San Diego, CA",single,1,3,217000,,0,1,,(619) 420-7564,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"2816 47th St, San Diego, CA 92105",40,50,35,100,75
4406,55.2,Allstars Of Mecklenburg Inc,NC,"Matthews, NC",single,1,3,217000,,0,1,,(704) 821-9959,John Curkley (Owner),B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 141, Matthews, NC 28106",40,50,35,100,75
4407,55.2,Full Moon Enterprises,NC,"Charlotte, NC",single,1,3,217000,,0,1,,(704) 697-9598,Marty Martin (Owner),B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"714 S Interstate 85 Service Rd, Charlotte, NC 28208",40,50,35,100,75
4408,55.2,Lundberg Specialty Transport,NC,"Charlotte, NC",single,1,3,217000,,0,1,,(704) 649-1177,,B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"7202 South Creek Rd, Charlotte, NC 28277",40,50,35,100,75
4409,55.2,Walls Logistics LLC,NC,"Charlotte, NC",single,1,3,217000,,0,1,,Not Available,Kelnisha Walls (Manager),B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"4905 Benthaven Ln, Charlotte, NC 28269",40,50,35,100,75
4410,55.2,Front Row Limousines,GA,"Cumming, GA",single,1,3,216000,,0,1,,(770) 917-0063,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"3719 Meeting St, Cumming, GA 30040",40,50,35,100,75
4411,55.2,Affordable Senior Transport,WI,,single,1,4,216000,,0,1,,(715) 836-7616,,B,0.5,4 emp; $0.2M rev; year n/a; single; phone; special-needs,,40,50,35,100,75
4412,55.2,Absolute Luxury Limousine LLC,CO,"Thornton, CO",single,1,3,215000,,0,1,,(303) 452-9901,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"4321 E 109th Ave, Thornton, CO 80233",40,50,35,100,75
4413,55.2,Affordbladorable Limousine LLC,CO,"Aurora, CO",single,1,4,215000,,0,1,,(303) 366-1397,,B,0.5,4 emp; $0.2M rev; year n/a; single; phone; special-needs,"1029 Victor St, Aurora, CO 80011",40,50,35,100,75
4414,55.2,Chadwick Limousine,CO,"Westminster, CO",single,1,3,215000,,0,1,,(303) 473-0473,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"8473 Rutgers St, Westminster, CO 80031",40,50,35,100,75
4415,55.2,Coaches Mountain LLC,CO,"Cripple Creek, CO",single,1,4,215000,,0,1,,(719) 689-3999,Gerry Mills (President),B,0.5,4 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 299, Cripple Creek, CO 80813",40,50,35,100,75
4416,55.2,J L S Inc,MO,"Springfield, MO",single,1,4,215000,,0,1,,(417) 883-5017,Jewell Dupont (Site Manager),C+,0.5,4 emp; $0.2M rev; year n/a; single; phone; special-needs,"1501 E Broadmoor St, Springfield, MO 65804",40,50,35,100,75
4417,55.2,Roadmaster Limos & Trnsp,NJ,"Whitesboro, NJ",single,1,4,215000,,0,1,,(609) 625-8700,William Hatcher (Owner),B,0.5,4 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 533, Whitesboro, NJ 08252",40,50,35,100,75
4418,55.2,CEO Limousine Svc,WI,"Lake Geneva, WI",single,1,4,215000,,0,1,,(262) 248-0540,Kirk Yonker (Owner),B,0.5,4 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 202, Lake Geneva, WI 53147",40,50,35,100,75
4419,55.2,Hi Life Limousine,WI,"Delavan, WI",single,1,4,215000,,0,1,,(262) 728-9111,Steve Saunders (Owner),B,0.5,4 emp; $0.2M rev; year n/a; single; phone; special-needs,"528 Valencia Dr, Delavan, WI 53115",40,50,35,100,75
4420,55.2,A S P Enterprise Inc,DE,"Laurel, DE",single,1,4,214000,,0,1,,(302) 875-7177,Allen Peterson (President),B,0.5,4 emp; $0.2M rev; year n/a; single; phone; special-needs,"RR 3 Box 358-C, Laurel, DE 19956",40,50,35,100,75
4421,55.2,Ameri Care Transport Inc,FL,,single,1,3,214000,,0,1,,(407) 678-6674,,B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,,40,50,35,100,75
4422,55.2,Crown Med Transport,FL,,single,1,3,214000,,0,1,,(407) 739-6398,,B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,,40,50,35,100,75
4423,55.2,Selective Limousine,FL,"Orlando, FL",single,1,3,214000,,0,1,,(407) 351-1533,Marlis Berdel (President),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 690454, Orlando, FL 32869",40,50,35,100,75
4424,55.2,Nates Airporter,OR,"Portland, OR",single,1,3,214000,,0,1,,(503) 774-4270,Nathan Bolen (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"3812 SE 79th Ave, Portland, OR 97206",40,50,35,100,75
4425,55.2,Pams Clean Machine Inc,OR,"Gresham, OR",single,1,3,214000,,0,1,,(503) 663-9979,Pam Baker (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"1500 SW Pleasant Vw Dr # 235, Gresham, OR 97080",40,50,35,100,75
4426,55.2,Progressive Transportation,IL,"Campton Hills, IL",single,1,3,213000,,0,1,,(630) 762-9044,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"6n788 Brookhaven Ln, Campton Hills, IL 60175",40,50,35,100,75
4427,55.2,Ultimate Choice Limousine Svc,OH,"Mentor, OH",single,1,4,213000,,0,1,,(440) 255-4144,Mitchel Zorich (Owner),C+,0.5,4 emp; $0.2M rev; year n/a; single; phone; special-needs,"7377 Case Ave, Mentor, OH 44060",40,50,35,100,75
4428,55.2,On Demand Paratransit,TN,"Antioch, TN",single,1,3,213000,,0,1,,Not Available,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"5252 Hickry Holw Pkwy # 241, Antioch, TN 37013",40,50,35,100,75
4429,55.2,Ambu-Lift,WI,"Cameron, WI",single,1,4,213000,,0,1,,(715) 859-6671,Sharron Jerdee (Owner),B,0.5,4 emp; $0.2M rev; year n/a; single; phone; special-needs,"1124 24 1/4 St, Cameron, WI 54822",40,50,35,100,75
4430,55.2,White Lightning Limousine,WI,"Prairie Farm, WI",single,1,4,213000,,0,1,,(715) 455-1182,Terry Becker (Owner),B,0.5,4 emp; $0.2M rev; year n/a; single; phone; special-needs,"772 7th Ave, Prairie Farm, WI 54762",40,50,35,100,75
4431,55.2,Greater Harvest Medical TRNSPN,KY,"Louisville, KY",single,1,3,212000,,0,1,,(502) 778-9004,,B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"2912 W Kentucky St, Louisville, KY 40211",40,50,35,100,75
4432,55.2,Ivy Transport,KY,"Louisville, KY",single,1,3,212000,,0,1,,(502) 365-3505,,B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"501 Woodbine St, Louisville, KY 40208",40,50,35,100,75
4433,55.2,Lifeline Taxi,KY,"Louisville, KY",single,1,3,212000,,0,1,,(502) 584-8294,,B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"4035 Bardstown Rd, Louisville, KY 40218",40,50,35,100,75
4434,55.2,Midwest Transportation,MO,"Kansas City, MO",single,1,3,212000,,0,1,,(816) 753-5522,Richard Fisher (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"809 W 39th St, Kansas City, MO 64111",40,50,35,100,75
4435,55.2,A-Z Medical Transportation LLC,CA,"Sacramento, CA",single,1,3,211000,,0,1,,Not Available,Anna Tovmasyan (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"2386 Fair Oaks Blvd # 118, Sacramento, CA 95825",40,50,35,100,75
4436,55.2,Billups Limo Bus & Van Svc,OH,"Cincinnati, OH",single,1,3,211000,,0,1,,(513) 561-4214,Tommy Billups (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"6225 Madison Rd, Cincinnati, OH 45227",40,50,35,100,75
4437,55.2,Style & Elegance Limousines,OH,"Cincinnati, OH",single,1,3,211000,,0,1,,(513) 794-0606,Delores Snead (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"4317 Hegner Ave, Cincinnati, OH 45236",40,50,35,100,75
4438,55.2,Universal Work & Power LLC,OH,"Cincinnati, OH",single,1,3,211000,,0,1,,Not Available,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"6320 E Kemper Rd # 150, Cincinnati, OH 45241",40,50,35,100,75
4439,55.2,First Choice Car Svc Inc,CT,"Stamford, CT",single,1,3,209000,,0,1,,(203) 357-8223,Bryan Taylor (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"191 Frederick St, Stamford, CT 06902",40,50,35,100,75
4440,55.2,Cheyenne's Total Care,MS,"Aberdeen, MS",single,1,3,209000,,0,1,,(662) 369-0430,,B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"122 W Commerce St, Aberdeen, MS 39730",40,50,35,100,75
4441,55.2,Go Citas,PR,,single,1,3,209000,,0,1,,(787) 232-7712,,U,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,,40,50,35,100,75
4442,55.2,Rapid Response Ambulance,PR,"San Juan, PR",single,1,3,209000,,0,1,,(787) 376-4055,,U,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"406 Calle San Claudio, San Juan, PR 00926",40,50,35,100,75
4443,55.2,Angels On The Run Med Trnsprtn,LA,"Baton Rouge, LA",single,1,3,208000,,0,1,,(225) 272-9963,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"11570 Willow Oak Ave, Baton Rouge, LA 70815",40,50,35,100,75
4444,55.2,Caring Wheels Med Trnsprtn,LA,"Baton Rouge, LA",single,1,3,208000,,0,1,,(225) 274-8220,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"10926 Toledo Bend Ave, Baton Rouge, LA 70814",40,50,35,100,75
4445,55.2,Lagardes Medical Trnsprtn,LA,"Baton Rouge, LA",single,1,3,208000,,0,1,,(225) 355-0083,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"2852 69th Ave, Baton Rouge, LA 70807",40,50,35,100,75
4446,55.2,Bigelow Transport,NC,,single,1,4,208000,,0,1,,(336) 524-0245,,B,0.5,4 emp; $0.2M rev; year n/a; single; phone; special-needs,,40,50,35,100,75
4447,55.2,Granite State Limousine Inc,NH,"Pittsfield, NH",single,1,3,208000,,0,1,,(603) 435-7688,Daniel Ward (Principal),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"680 Tan Rd, Pittsfield, NH 03263",40,50,35,100,75
4448,55.2,Affordable Passenger,OK,"Tulsa, OK",single,1,3,208000,,0,1,,(918) 234-8600,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"1535 S Memorial Dr # 120, Tulsa, OK 74112",40,50,35,100,75
4449,55.2,Corporate Cab Inc,FL,"Naples, FL",single,1,3,207000,,0,1,,(239) 403-1066,C Graham (President),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"240 Aviation Dr N # 202, Naples, FL 34104",40,50,35,100,75
4450,55.2,Patron Transportation,FL,"Marco Island, FL",single,1,3,207000,,0,1,,(239) 394-6179,Ronald Hassett (Principal),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"300 Stevens Landing Dr, Marco Island, FL 34145",40,50,35,100,75
4451,55.2,Deanna Specialty Trnsprtn Inc,GA,"Augusta, GA",single,1,3,207000,,0,1,,Not Available,,B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"211 Sand Bar Ferry Rd # 2, Augusta, GA 30901",40,50,35,100,75
4452,55.2,Love Out Reach,GA,"Augusta, GA",single,1,3,207000,,0,1,,(706) 792-1711,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"2208 Southgate Dr, Augusta, GA 30906",40,50,35,100,75
4453,55.2,Always From The Heart Trnsprtn,MI,"Commerce Township, MI",single,1,3,207000,,0,1,,(248) 363-6033,Nancy Williams (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"4666 Newcroft St, Commerce Township, MI 48382",40,50,35,100,75
4454,55.2,Always Platinum Limousine Inc,NC,"Raleigh, NC",single,1,3,207000,,0,1,,(919) 846-9177,David Southerland (President),B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 98752, Raleigh, NC 27624",40,50,35,100,75
4455,55.2,Back In Time LLC,NC,"Raleigh, NC",single,1,3,207000,,0,1,,(919) 261-9363,,B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"2036 Shy Baby Ln, Raleigh, NC 27610",40,50,35,100,75
4456,55.2,Amen Transportation,TN,,single,1,3,207000,,0,1,,(901) 372-2277,,B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,,40,50,35,100,75
4457,55.2,BTW Transportation Shop,TN,"Memphis, TN",single,1,3,207000,,0,1,,(901) 774-9773,James Bridges (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"600 S Parkway E, Memphis, TN 38106",40,50,35,100,75
4458,55.2,CTT Inc,TN,,single,1,3,207000,,0,1,,(901) 363-6195,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,,40,50,35,100,75
4459,55.2,M & C Community Transit,TN,"Memphis, TN",single,1,3,207000,,0,1,,(901) 353-6412,,B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"3350 Millington Rd, Memphis, TN 38127",40,50,35,100,75
4460,55.2,Always Quality Transportation,WI,,single,1,3,207000,,0,1,,(414) 397-3206,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,,40,50,35,100,75
4461,55.2,Always Quality TRNSP LLC,WI,"Milwaukee, WI",single,1,3,207000,,0,1,,(414) 397-2306,Ryan Lowe (President),B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 90191, Milwaukee, WI 53209",40,50,35,100,75
4462,55.2,Impressions Limousine Svc,CA,"Red Bluff, CA",single,1,4,206000,,0,1,,(530) 528-2859,Mike Martin (Owner),B,0.5,4 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 8571, Red Bluff, CA 96080",40,50,35,100,75
4463,55.2,Millennium Limousine Svc,CA,"Soquel, CA",single,1,3,206000,,0,1,,(831) 476-1008,Marty Hunter (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"2750 Orchard St # 9, Soquel, CA 95073",40,50,35,100,75
4464,55.2,Stat Care EMS,TX,,single,1,3,206000,,0,1,,(409) 883-5333,,B,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,,40,50,35,100,75
4465,55.2,Ty's Transportation Svc LLC,VA,"South Boston, VA",single,1,4,206000,,0,1,,Not Available,,B,0.5,4 emp; $0.2M rev; year n/a; single; phone; special-needs,"1100 Bill Tuck Hwy, South Boston, VA 24592",40,50,35,100,75
4466,55.2,Abet Medical Transportation,FL,"Hollywood, FL",single,1,3,205000,,0,1,,(954) 962-0970,Bob Sewall (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 5118, Hollywood, FL 33083",40,50,35,100,75
4467,55.2,Active Mobility Ctr,FL,,single,1,3,205000,,0,1,,(954) 566-5073,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,,40,50,35,100,75
4468,55.2,High Society Chauffeuring,FL,"Pompano Beach, FL",single,1,3,205000,,0,1,,(954) 942-4096,Mark Geller (Owner),C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"880 SW 10th Ave 8, Pompano Beach, FL 33060",40,50,35,100,75
4469,55.2,Sky Limo Corp,FL,"Fort Lauderdale, FL",single,1,3,205000,,0,1,,(954) 491-5930,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"330 N Andrews Ave # 350, Fort Lauderdale, FL 33301",40,50,35,100,75
4470,55.2,Lucas Limousines,TN,"Smyrna, TN",single,1,3,205000,,0,1,,(615) 223-7703,,C+,0.5,3 emp; $0.2M rev; year n/a; single; phone; special-needs,"PO Box 1816, Smyrna, TN 37167",40,50,35,100,75
