rank,name,state,ownership_type,owner_or_parent,principals,succession_signal,founded_year,fleet_size_est,employees_est,service_types,districts_or_customers,recent_news,website,confidence,fit_notes
2058,Safe Wheels LLC,NH,family-owned,independent,Tahra Katane and Mehdi Katane (founders/owners),unknown,2016,"small van fleet (likely <15 vehicles; mix of large vans, mini vans, sedans)",9,"[""special-needs"", ""McKinney-Vento"", ""child shuttle/after-school"", ""school-contracted""]",Contracts with multiple southern New Hampshire school districts for special needs and McKinney-Vento transportation; also direct-to-family shuttle service,"Grand opening announced 2016 in Bedford, NH; family-owned operation focused on special needs/McKinney-Vento school transportation. No recent M&A activity identified.",https://safewheels.com/,medium,"Small NH-based family operator with niche special-needs/McKinney-Vento focus — a tuck-in fit for Summit's SPED-heavy strategy in New England, but very small scale (single-tier, ~$381K revenue, van fleet vs. Type C/D buses). Likely sub-scale on its own but could augment existing NH route density."
2063,Emily School Transport Inc,MN,independent,independent,[],unknown,2017,1,7,"[""school"", ""charter-school-routes""]","[""Saint Paul-area charter schools (per customer review)""]","FMCSA registration last updated 2017; intrastate passenger carrier, USDOT 3042864, single power unit / single driver on file.",emily-school-transport.business.site,medium,Sub-scale single-bus charter-school shuttle operator in Saint Paul; too small to be a meaningful tuck-in for Summit on its own but could be a route-bolt-on if Summit already has a Twin Cities footprint.
2065,On My Way School Taxi,TX,family-owned,independent,"[""Laura Rodriguez (Owner)""]",unknown,2018,2,5,"[""school-taxi"", ""private-school-transport"", ""after-school-pickup""]","[""Garland-area private school families (DFW metro)""]",Active small business operating under 'On My Way Transportation LLC' brand; website live with 'Transporting You with Care' tagline; no recent M&A or news.,onmywaytransportationllc.com,medium,"Boutique school-taxi/private-pay child transport in DFW (Garland) rather than yellow-bus contracting; small fleet but operates in same private-pay segment Summit increasingly competes against (Taxi Mom, HopSkipDrive). Niche tuck-in only if Summit is building a DFW alt-transport arm."
2069,Carlos & Lily Bus Svc Inc,FL,family-owned,independent,Liliana Delgado (Owner),unknown,2019,1-2,2,"[""school""]",Likely private/charter school routes in Hialeah / Miami-Dade area; Miami-Dade requires Private School Bus permits,No public news. Listed on Nextdoor and Yellow Pages as an active Hialeah school-bus service.,,low,"Husband-and-wife / family micro-operator (2 employees, ~$89K rev) in Hialeah. Too small to be a standalone Summit tuck-in; only relevant in a Miami-Dade private/charter school-bus consolidation play. Website field 'Intalytics.Com' in source data appears to be a directory/data artifact, not a real site."
2070,Curtis Bus Svc,TN,family-owned,independent,Thomas (Tommy) Curtis (Owner),high,1998,1-3,2,"[""school"", ""charter""]",Monroe County Schools (TN) - Vonore area; route driver and athletic trips for former Vonore High School,"Thomas Curtis inducted into the TAPT (Tennessee Association of Pupil Transportation) Hall of Fame, recognizing decades of service to Monroe County Schools.",,medium,"Long-tenured (since 1998) owner-operator contracting with Monroe County Schools, TN. TAPT Hall of Fame induction strongly suggests Tommy Curtis is at or near retirement age - very high succession-signal. Fleet is tiny (likely 1-3 buses), so only attractive to Summit as part of a Tennessee independent-contractor roll-up, not a standalone tuck-in."
2071,Attentive Care Trnsprtn LLC,MI,family-owned,independent,Anita and Kamal (Owners),unknown,,3-5,8,"[""NEMT"", ""special-needs"", ""school""]","Metro Detroit area; non-emergency medical clients, work/school/airport transport, student extracurricular pickups, light freight",No M&A or material news found. Self-described as 'homegrown' Detroit transportation business.,,low,Primarily a NEMT / general non-emergency transport operator that incidentally handles school and student rides - not a dedicated yellow-bus or SPED school-bus contractor. Poor fit for Summit's core school-bus tuck-in thesis; only relevant if Summit pursues an adjacent Michigan NEMT/SPED platform.
2081,A G Medical Transportation Inc,IL,family-owned,independent,"[""Akshay Patel (President)""]",unknown,,"unknown (small, est. 3-6 vans)",8,"[""NEMT"", ""special-needs transportation (likely IDHS/Medicaid)""]","[""Illinois HFS Medicaid NEMT broker network (presumed)""]","Independent NEMT operator in Northbrook, IL led by Akshay Patel; no M&A, safety, or growth news identified.",,low,"Owner-operated North Shore Chicago NEMT shop, not a yellow school-bus contractor. Categorized as 'special_needs' likely reflects medical/disability transport rather than SPED school routing. Marginal fit for Summit unless contracted with a North Shore district."
2084,Buttafly's Xpress LLC,OH,family-owned,independent,"[""Alicia Boyd (Founder/Owner)""]",low,,,6,"[""non-emergency medical transport (NEMT)"", ""special-needs"", ""school transportation (after-school)"", ""senior/disability""]","[""Cleveland Metropolitan area"", ""Cuyahoga County"", ""Lake County"", ""Summit County"", ""Lorain County"", ""Medicaid-funded riders""]","Active small NEMT/luxury/family transportation provider founded by Alicia Boyd (15+ years industry experience). All drivers fingerprinted, background-checked, CPR/First-Aid certified. No M&A activity identified.",https://buttaflysxpressllc.com/,medium,"Micro NEMT/special-needs operator (~6 employees, ~$600K rev) primarily Medicaid-driven, not a yellow-bus district contractor. Weak fit for Summit School Services platform; more relevant to NEMT roll-ups than school-bus consolidation."
2095,Pegasus Transport Svc Inc,NJ,family-owned,independent,Cengiz Tasdemir (Founder/President/Owner),medium,1994,large luxury/limo fleet (not yellow-bus),8,"[""luxury limousine"", ""corporate ground transport"", ""executive shuttle"", ""motorcoach charter""]",Corporate clients across NY/NJ/PA/CT; member Fort Lee Chamber; serves 550+ cities via affiliates,"Profiled by TurkofAmerica as a Turkish-American immigrant success story; 30+ years in business. No school-district contracts identified. Separate 'Pegasus Bus Company LLC' (Medford, NJ) is a distinct NJ school-bus contractor (NJSBCA member) and is NOT owned by Tasdemir's Pegasus Transport.",https://pegasusww.com/,medium,"Not a school-bus operator - this is a corporate/luxury limo and motorcoach business. Not a Summit tuck-in. Note: a separate NJ school-bus contractor named 'Pegasus Bus Company LLC' (Medford, NJ) exists and may be worth screening independently."
2104,Lucy Transport LLC,VA,independent,independent,[],unknown,,,7,"[""NEMT"", ""non-emergency medical transport""]","[""MassHealth/MedicaidVA-style NEMT customers (suspected)""]",Operates as a Virginia NEMT provider (Lucy Transport LLC / related Lucy Transportation Inc). FMCSA-registered carrier (USDOT 3833136). Website lucytransportationgov.com currently down for maintenance. No evidence of school-bus / SPED district contracts.,https://lucytransportationgov.com/,low,"NEMT operator, not a school-bus contractor. Sub-scale (~$525K rev, 7 employees). Outside Summit's yellow-bus tuck-in profile; not a fit."
2105,Comfort Transit Svc,CA,family-owned,independent,"[""Jose Esqueva (Owner)""]",unknown,,,7,"[""special-needs/NEMT"", ""paratransit (suspected)""]","[""LA County Access Services/paratransit area (inferred)""]","Operates as Comfort Transit Services Inc., Monterey Park CA. D&B/ZoomInfo list 5-9 employees and <$500K revenue in rail/bus/taxi industry. No confirmed school-district contracts and no company website.",,low,Micro paratransit/NEMT shop in LA basin; no evidence of yellow-bus or SPED district routes. Sub-scale and likely not a Summit tuck-in target.
2115,R & C Limo,NJ,family-owned,independent,"[""Rimon Habib (Principal)""]",unknown,,,7,"[""limo/car service"", ""airport transfers"", ""possible special-needs van""]",[],"Yelp listing confirms R & C Limo operating in Bayonne (alternate address 29 W 29th St; phone 201-437-4555) offering limo, airport, personal driver and ride-share services. No school-bus contractor footprint identified in NJDOE contractor lists.",,low,Independent owner-operator livery; not an apparent yellow-bus or special-needs school transport contractor. Sub-scale and out of Summit's tuck-in profile.
2116,TNT Transportation Svc,VA,independent,independent,"[""Annette Burton (Office Manager)""]",unknown,,,6,"[""NEMT"", ""wheelchair-accessible medical transport"", ""special-needs (medical, not school)""]","[""Metro Richmond, VA seniors/disabled population (non-emergency medical trips)""]",VirginiaNavigator profile (2025) describes TNT Transportation Services as a non-emergency medical and wheelchair transport provider serving older adults and people with disabilities in metro Richmond. Operates 24/7 by reservation; CPR-certified drivers; wheelchair-accessible vehicles. No school-district contracts identified.,https://www.facebook.com/TNTTransportServices/,medium,Confirmed NEMT/medical transport — not a school-bus contractor. Outside Summit's K-12 contracted-route platform; not a tuck-in target. (Note: shares Glen Allen address with TNT Auto Rentals and TNT Limousine — likely common ownership across small mobility services.)
2117,Carecar LLC,MI,independent,independent,"[""Nicole Downs (Manager)"", ""Nicole Morris (Manager per NPI records)""]",unknown,2015,,7,"[""NEMT (van)"", ""disability transport"", ""senior transport""]","[""Oakland County, MI seniors and disabled population (NEMT)""]","NPI 1356721757 issued June 2015 classifying CareCar LLC as Non-emergency Medical Transport (van) in Holly, MI. BBB and Yellow Pages list it as a disability/senior transport provider. No school-district contracts or yellow-bus fleet identified.",,medium,"NEMT/disability van service, not K-12 school transport. Out of Summit's tuck-in profile; deprioritize. (Distinct from CareCar.co, a national NEMT marketplace.)"
2130,Presidential Limosne TRNSP LLC,CA,family-owned,independent,"[""John McGlenn""]",unknown,1982,,6,"[""luxury sedans"", ""SUVs"", ""stretch limousines"", ""motor coach"", ""corporate"", ""weddings"", ""prom""]","[""Prom/formal charters for San Diego-area high schools (retail, not district contract)""]","Family-owned San Diego limo company established 1982; markets to corporate, leisure, weddings, and prom/homecoming. No school-district contracts or yellow-bus operations identified.",https://preslimo.com/,medium,"Not a Summit tuck-in target. Traditional luxury/livery limo company; prom and formal work is one-off retail charter, not contracted school transportation. No SPED, home-to-school, or yellow-bus capability."
2134,T & M Limo Svc,IL,family-owned,independent,"[""Tommy (Tommie) Boddie""]",high,,,5,"[""limousine/livery"", ""historical school transportation""]","[""Historical: North Chicago Community Unit School District (via predecessor T&M Transportation / Safety First Transportation)""]","Listed on Yelp as 'T & M Boddie Limousine Service' in Gurnee. Owner Tommie Boddie has a documented federal criminal history tied to a North Chicago school bus contract kickback/fraud scheme (T&M Transportation / Safety First Transportation, sentenced for fraud; DOJ release). Tommie Boddie now listed as a Site Coordinator at Olson Transportation (Gurnee).",,medium,"DISQUALIFY for Summit tuck-in. Principal has documented federal conviction tied to a school district bus-contract kickback scheme; reputational/regulatory risk is unacceptable for an I Squared-backed platform. Also too small (5 employees, no apparent bus fleet)."
2142,Champine Transportation Svc,MI,independent,independent,,unknown,,,7,"[""likely senior/community/NEMT transport""]",,,,low,"Small Macomb County (Washington/Shelby Twp/Utica area) transport service; surfaces only on Nextdoor and address-records sites. No evidence of school-district contracts, yellow-bus fleet, or SPED routing. Profile (~7 employees, ~$425K revenue) and Macomb suburb footprint suggest senior/medical livery rather than K-12 contractor. Not a Summit tuck-in candidate without on-the-ground verification."
2143,Med Tran Inc,MN,independent,independent,"[""Joe Tranby (Owner)""]",unknown,,<5 (sprinter vans),5,"[""NEMT"", ""special-needs/disability transportation""]",Hennepin County medical/disability clients; appears in Minnesota state disability resource handbooks,No M&A or notable news found; operates as DBA Tranby Health Ride providing medical transportation for persons with disabilities,,medium,"Micro NEMT/disability sprinter-van operator, not a yellow-bus school contractor; far below Summit tuck-in threshold. Likely not a fit."
2147,Camelot Coach Inc,CT,independent,independent,"[""Robert Spear (Principal)""]",unknown,,"small (<10, charter/coach)",6,"[""charter/motor coach"", ""local/suburban passenger transport"", ""possible school activity charters""]","Fairfield County CT charter market; secondary location at 482 Honeyspot Rd, Stratford",None found; small CT charter operator. Stratford-area school-bus market dominated by Durham (Summit) and DATTCO,,low,"Small Stratford CT charter coach operator, not a yellow-bus contractor; minimal scale and likely no district route contracts. Marginal/no fit for Summit."
2150,Richardson Taxi Cab Plus,TX,independent,independent,Rod Bartauff (Owner),unknown,,,5,"[""taxi"", ""airport shuttle"", ""24/7 local taxi""]",[],"Operates 24/7 from 2435 N Central Expy, Richardson TX as a local taxi/DFW airport service per Yelp and Manta listings. No school-district contracts identified.",,medium,"Not a fit. Local taxi/airport-cab operation (~5 employees), not a yellow-bus or SPED contractor. Outside Summit's school-transport tuck-in universe."
2155,Premier Handicap & Trnsprtn,MI,independent,independent,[],unknown,,,6,"[""NEMT"", ""handicap/wheelchair transport""]","[""Medicaid / disability clients in Oakland County, MI""]",Premier Handicap Services LLC registered with FMCSA (USDOT 4150981); described as 'locally owned non-emergency transportation company' for special-needs riders. No M&A activity identified.,http://www.premierhandicapservices.com/,low,"NEMT/handicap transport only; no school district or SPED routing contracts identified. Small (~6 employees, ~$413K revenue) and outside Summit's K-12 yellow-bus / contract school transportation focus."
2156,R & E Family Transportation,MI,independent,independent,[],unknown,,,2,"[""NEMT"", ""medical transport""]",[],"Manta lists R&E Transportation Inc at 18877 W 10 Mile Rd, Southfield, MI with ~$67K revenue and ~2 employees. No M&A or school-district news. Yelp page exists but no school transport indication.",,low,"Sub-scale NEMT / family medical transport in Southfield, MI; not a school-bus contractor. Too small (likely 1-2 vehicles) and wrong service category for Summit School Services tuck-in."
2157,Roman Limo Svc,MI,independent,independent,"[""Roman Freyman""]",unknown,,,6,"[""limousine"", ""livery""]",[],"No M&A, ownership, or school-contract news identified. Operates as a small limo/car service out of Keego Harbor, MI.",,low,Single-vehicle limo/livery operator; not a school-bus or SPED contractor. Falls outside Summit's K-12 student-transportation tuck-in profile.
2162,Central Oregon Cabulance,OR,family-owned,independent,Jason Highman (Owner),unknown,,,7,"[""NEMT/wheelchair"", ""cabulance"", ""door-through-door medical transport""]",Bend/Redmond area medical/wheelchair clients; no school district contracts identified,No M&A or growth news identified; standard NEMT operations,,low,Small owner-operated NEMT/cabulance service in Bend; not a school-bus / SPED contractor. Not a Summit tuck-in fit unless Summit expands into NEMT-adjacent special-needs transport.
2170,Eagle Special Transportation,MN,family-owned,independent,"[""Tony Rice (Owner)""]",unknown,,,8,"[""NEMT"", ""wheelchair van"", ""sedan medical transport""]","[""Major medical insurance payors (per Manta listing)""]",Manta listing describes company as NEMT operator transporting clients to/from medical appointments using wheelchair vans and sedans; no M&A or school contract news.,,low,"Not a fit. Ogilvie, MN NEMT/medical-transport micro-operator (~8 employees), not a school-bus contractor. Wrong service vertical for Summit; would be a Medicaid-transport platform target, not a yellow-bus tuck-in."
2172,Heyden Limousine Svc Inc,CA,family-owned,independent,"[""John T. Heyden (President)""]",medium,,,6,"[""limousine/local passenger transport""]",[],"Public records confirm John T. Heyden as President of Heyden Limousine Service Inc, local passenger carrier in Palm Springs; no school-bus contracts or M&A activity found.",,low,"Not a fit. 6-employee Palm Springs limousine/livery service operating from a residential address; long-tenured owner suggests possible succession dynamic but wrong service vertical (livery, not yellow school bus) for Summit tuck-in."
2180,ATS Apex Transit Solutions,OH,independent,independent,"[""Susan Kline-Rushworth (Owner & President)""]",unknown,2013,8,8,"[""non-emergency medical transportation (NEMT)"", ""disabled / wheelchair transport"", ""woman-owned small disadvantaged business""]",[],"Founded/incorporated in Ohio in 2013; certified woman-owned. FMCSA SAFER shows 8 power units and 8 drivers, intrastate-only, passenger authority, no recent inspections or crashes in last 24 months. No school district contracts disclosed; no M&A activity.",,medium,Independent woman-owned NEMT micro-operator (~8 vehicles) in Cleveland. Not a yellow-bus school contractor; possible SPED/alt-transport overlay only. Likely too small and off-thesis for Summit yellow-bus tuck-in.
2182,Open Arms Transportation,OH,independent,Open Arms Adult Day Health Care (likely captive transport arm),[],unknown,,5,5,"[""non-emergency medical transport"", ""adult day health care patient transport"", ""wheelchair-accessible transport"", ""Medicaid / Passport / Access to Care payer mix""]","[""Open Arms Adult Day Health Care participants""]","Captive transport unit of Open Arms Adult Day Health Care (openarmsadhc.com). FMCSA SAFER (USDOT 2794235) shows 5 power units / 5 drivers, intrastate-only, active. No school district contracts, no M&A activity. Website copyright 2022.",https://openarmsadhc.com/services/transportation/,medium,"Captive adult day-care transport, not a K-12 school-bus contractor. Off-thesis for Summit; pass."
2183,Tobi Transportation LLC,OH,independent,independent,"[""Alice O. Jackson (President)""]",unknown,2009,1-3,5,"[""NEMT"", ""wheelchair/disabled transport""]",Cleveland-area NEMT clients; SAM-registered for federal/government work; DOT-certified DBE,"Active small DBE-certified, minority/woman-owned LLC operating from 14100 Bardwell Ave, Cleveland; no recent M&A or growth news identified",,low,"Micro NEMT/disabled-transport operator, not a school-bus contractor; too small (5 employees, sub-$400K rev) to be a meaningful Summit tuck-in"
2186,Cali Assisted Transportation,CA,independent,independent,"[""Rosemary Sanchez (Manager)""]",unknown,,1-5,5,"[""school transportation"", ""disabled/special-needs transport"", ""ambulance/NEMT-style""]",Whittier/SE Los Angeles County area; listed in disability-transportation directories; potential SPED rides but no confirmed district contract,"Small Whittier-based operator with Facebook presence; no M&A, ownership change, or material growth news identified",https://www.facebook.com/people/Cali-Assisted-Transportation-Inc/100067730055777/,low,"Tiny SPED/NEMT-style operator in LA County; may move a handful of special-needs students but is sub-scale for a Summit tuck-in (5 employees, ~$367K rev)"
2187,Porter's Wheelchair Van Svc,KS,independent,independent,[],unknown,,1-2,5,"[""NEMT"", ""wheelchair van transport""]",Johnson County KS (Stanley/Overland Park area); likely Medicaid/private-pay NEMT; no confirmed school district contracts,"Home-based wheelchair-van operator at 6830 W 152nd Ter, Stanley/Overland Park KS; no M&A, ownership, or growth news identified",,low,"Micro wheelchair-van NEMT, not a school-bus contractor; far too small to be a Summit tuck-in target"
2189,Charles Limo,MI,family-owned,independent,"[""Charles Daniels""]",unknown,,,6,"[""limo/livery"", ""special-needs (per source data)""]",[],"Small owner-operated livery service in Mount Clemens, MI (Macomb County) at 219 N Wilson Blvd; principal Charles Daniels. No web presence, no M&A activity, no confirmed school-bus contracts located in public search.",,low,"Single-principal Mount Clemens livery; flagged as special-needs in source data but appears to be a traditional limo service, not a school-bus contractor. Too small for a stand-alone Summit tuck-in; only relevant as part of a roll-up of Macomb County alternative-SPED vendors."
2191,On Time Limousine Svc Inc,MI,independent,independent,"[""Abrar Ahmad""]",unknown,,,6,"[""limo/livery"", ""special-needs (per source data)""]",[],"Sterling Heights, MI livery operator at 36437 Tulane Dr; appears in WhereOrg/local directories. No school-district contract records, no M&A or ownership-change signals found in public sources.",,low,"Sub-scale Macomb County livery (~6 employees, ~$364K rev). Not a school-bus operator; potentially a small SPED alt-transport vendor. Far below Summit's tuck-in threshold on a stand-alone basis."
2192,Rainbow Limousine Svc,MI,independent,independent,"[""Heidi Gabauer""]",unknown,,,6,"[""limo/livery"", ""special-needs (per source data)""]",[],"Small Saint Clair Shores, MI livery at 22641 Edgewood St; rainbowlimosvc.com appears to reference a PA-based operator, not this MI entity. No M&A, ownership-change, or school-district contract signals found.",,low,Single-principal St. Clair Shores livery; flagged special-needs in source data but presents as a traditional limo service. Too small for a stand-alone Summit tuck-in; only relevant as part of a wider SPED alt-transport roll-up in Macomb County.
2194,Comfort Coach Transportation,CA,family-owned,independent,"[""Diane G. Presser (Founder/President)""]",medium,2008,,5,"[""disabled-transport"", ""ADA/wheelchair"", ""senior medical""]",[],"No M&A; ~17 years in business, women-owned, family-run; CPR/first-aid certified drivers; ADA wheelchair vehicles.",,medium,"Women-owned, family-run ADA/wheelchair transport micro-business in Oceanside, CA. Not a school-bus contractor; focused on disability/senior medical transport. Marginal tuck-in fit unless SPED routes for North County SD districts can be confirmed."
2196,New England Shuttle,NH,family-owned,independent,"[""Allen Chouinard (Owner)""]",unknown,1998,,6,"[""shuttle"", ""limousine/livery""]","[""Manchester-Boston Regional Airport (listed transport partner)""]","D&B lists company at 76 E Broadway, Salem NH; classified as Limousine Rental with Driver. Salem School District (SAU 57) uses Student Transportation of America (STA) as its yellow-bus contractor, not New England Shuttle.",,medium,Not a yellow school-bus operator; appears to be a livery/shuttle business with airport service. Low tuck-in fit for Summit's school-bus platform.
2203,Rehab Transportation,MI,independent,independent,Rick Morse (Manager),unknown,unknown,45,5,"[""NEMT"", ""wheelchair""]",Southeast Michigan facilities and clinics; non-emergency medical transport,Operating per company website (rehabtransportation.com) as of 2026; states '45 vehicles in our fleet and counting',https://rehabtransportation.com/,medium,NOT A FIT — pure non-emergency medical transportation (NEMT) provider serving facilities/clinics in SE Michigan. No school bus or K-12 SPED contracting evident. Out of scope for Summit School Services tuck-in strategy.
2226,ASAP Taxi,NC,independent,independent,none identified,unknown,,unknown (micro taxi fleet; single-vehicle tier per source),6,taxi/cab service (operates as 'ASAP PDQ Taxi'); not a school-bus or yellow-fleet operator; possible after-school ride-hire only,none identified; Cumberland County Schools handles EC/special-needs transport in-house,None identified - listed in local Fayetteville taxi directories only,none confirmed,low,"Not a credible school-bus tuck-in. Local taxi company, not a contracted student transportation operator. Skip."
2230,Satterwhite Ossian,TX,family-owned,independent,"[""Ossian Satterwhite""]",unknown,,,4,"[""NEMT"", ""wheelchair transit""]",,DBA Priority Care Wheelchair Transit Central Division; sole proprietorship. May 2021 contract-debt lawsuit filed by Arthur Lee Willis Jr LLC vs. Ossian Satterwhite in Dallas County.,https://prioritycaretransit.com/,medium,"Not a fit. Wheelchair/NEMT sole proprietorship, not a school-bus contractor; sub-scale and outside Summit's yellow-bus mandate."
2232,Joedread Enterprises LLC,LA,independent,independent,[],unknown,,,6,"[""ground transport"", ""group transport"", ""wheelchair-accessible (1 fold-up)"", ""mobile WiFi shuttle""]",,"Operates as 'Joe Dread Enterprises Transportation' offering pickup/drop-off, personal vehicle take-home, and small-group transport; $75 minimum charge. No school-bus contracts or M&A news found.",,low,"Not a fit. Sub-scale (~6 employees, ~$334K revenue) Shreveport ground-transport/shuttle operator, not a yellow-bus contractor. Caddo Parish schools run transport in-house. Out of scope for Summit tuck-in."
2235,Montco Union Taxi,MD,independent,Anytime Union Taxi Cooperative (worker-owned co-op),[],unknown,,,4,"[""wheelchair-accessible taxi / paratransit (cooperative)""]","[""Montgomery County paratransit-style riders (general public)""]","Operates as worker-owned cooperative at 702 E Gude Dr, Rockville (Anytime Union Taxi Cooperative); 100% wheelchair-accessible fleet. MCPS runs its own school transportation in-house, so no school-bus contract identified.",https://anytimeuniontaxi.coop/,low,Not a fit. Worker-owned taxi cooperative (not a yellow-bus contractor); cooperative ownership structure also makes a PE tuck-in structurally awkward.
2246,Ambassador Limousine,NJ,independent,independent,"[""David Panno (President)""]",unknown,,,4,"[""limousine/livery"", ""local passenger transportation""]",[],"Operates as Ambassador Limo of New Jersey at 63 Ramapo Valley Rd Ste 205, Mahwah NJ 07430; phone (201) 529-9300. Listed on Yelp/Yahoo Local/Nextdoor as a small local limo/car-rental/town-car service. No M&A or school-contract news found.",,low,"Not a fit. General livery/limo operator (corporate/airport), not a school-bus or SPED contractor; ~4 employees, well below Summit's tuck-in profile."
2257,Rezman Express Corp,NJ,family-owned,independent,"[""David Rezmen (President)""]",unknown,1986,~6 power units (USDOT),4-68 (D&B suggests up to ~68; USDOT shows 6 drivers),"[""charter bus"", ""passenger for-hire (interstate)"", ""possible school trip charter""]","[""Tri-state area charter customers (no confirmed school district contracts)""]","USDOT 1904482 active, Satisfactory safety rating (May 2024). Physical address on USDOT lists Stroudsburg, PA suite, while NJ filings show Ridgefield Park PO Box and Teaneck (800 Cedar Ln) - possible related entity 'Rezman Express Inc' in Teaneck (contact Emin Kahyoglu). No M&A news.",,low,Small charter bus operator (~6 buses) - primarily for-hire passenger/charter rather than contracted school bus service. Possible adjacency for charter/activity-trip work but not a core yellow-bus or SPED tuck-in. Entity-structure ambiguity (Corp vs Inc; NJ vs PA addresses) warrants diligence before any approach.
2261,Jade Limousine Svc,CA,independent,independent,,unknown,,0,1,"[""limousine"", ""airport shuttle""]",None confirmed; FMCSA shows 0 power units / 1 driver,No M&A activity; SAFER snapshot dated 06/2026 shows Active intrastate-only with no safety rating,https://www.linkedin.com/company/jade-limousine-inc-,medium,"Jade Limousine Inc (USDOT 2688277) is registered at 709 N Hanover St, Anaheim CA - the Riverside Sedona Dr address is likely a private/registered-agent residence. Intrastate-only, 0 power units, 1 driver. Airport shuttle / wedding limo focus, not school-bus. NOT a Summit tuck-in fit."
2262,Limousine Corp America,NJ,independent,independent,"Anthony Azara (listed as President; LinkedIn shows him as GM at Avalon Transportation, suggesting possible affiliation or career move)",unknown,,,4,"[""limousine"", ""airport/hourly chauffeured""]",Airport (Newark/JFK/LGA/PHL) and corporate hourly clients; no NJ DOE school bus contractor match found,No M&A news; principal Anthony Azara appears affiliated with Avalon Transportation (Hamilton NJ),,medium,"4-employee chauffeured/airport limo on Kuser Rd, Hamilton/Trenton NJ; not appearing on NJ DOE school bus contractor lists. Operates as a generic livery, not a school/SPED operator. NOT a Summit tuck-in fit; Avalon Transportation (separate entity, same principal) is the more relevant adjacent player."
2267,Dave's Gurney & Wheelchair,CA,independent,independent,David K Williams (Owner),unknown,unknown,unknown (likely 1-3 vans),6,"[""NEMT"", ""wheelchair/gurney transport""]","unknown — appears to serve Madera/Kingsburg/Fresno-area NEMT (medical, not school)","No M&A or operational news found (2024-2026). Listed in Madera/Kingsburg area, 559 area code.",none confirmed,low,Non-emergency medical (gurney/wheelchair) transport operator — not a school-bus contractor. Service type mismatch with Summit's K-12 student-transport platform. Poor tuck-in fit; skip.
2269,Total Image Limousine Svc,OH,family-owned,independent,"[""Deborah Miller (President/Owner, deceased Apr 2026)"", ""John (J.D.) Davidson (Owner per website)""]",high,,10,5,"[""livery"", ""airport"", ""prom/homecoming/graduation school events"", ""social events""]","[""Toledo-area private school events"", ""Toledo SUA referenced area""]","Founder/co-owner Deborah Lynn Miller (age 70) of Sylvania, OH passed away April 8, 2026 after 35 years co-running the business — significant succession event. Website still lists J.D. Davidson as owner.",https://totalimagelimoservice.com/,medium,"Not a yellow-bus contractor — Lincoln Town Cars and 6/10-pax vans for airport, school proms/grads, and social events. Too small and wrong asset mix for Summit tuck-in; succession event noted but business model is livery, not contracted student transport."
2275,Prince-Peace Disability,IL,independent,independent,"[""Gloria Rosenthal (Principal, per Yellow Pages listing)""]",unknown,,,4,"[""special-needs"", ""disability transportation""]","[""Kankakee, IL area (possible Kankakee SD 111 special-ed transport)""]","No M&A, growth, or safety news found in public sources as of 2026-06.",,low,"Full name appears to be 'Prince of Peace Disability Transportation Service' - Kankakee, IL disability transport with only ~2-4 employees and ~$125K-$300K estimated revenue. Sub-scale for a Summit tuck-in; primarily NEMT/disability rather than yellow-bus school routes."
2278,A Para Transit Group,CA,family-owned,independent,"Sundeep Kumar (President), Mandeep Kumar, Reena Kumar (siblings; founded by their father in 1979)",medium,1979,110,150,"paratransit, special-needs transportation, medical, some student/school transport",East Bay Paratransit Consortium; San Leandro/Alameda County paratransit; medical and rehab transport; school/work trips for special needs riders,Acquired $3.8M East Bay facility via SBA 504 loan (TMC Financing case study); cited as high-tech paratransit operator with 110-vehicle fleet; second-generation family business,https://aparatransit.com,medium,"Independent, multi-generational Bay Area paratransit operator with ~110 vehicles - adjacency to special-needs student transport makes it a marginal Summit fit; primarily ADA paratransit rather than yellow-bus K-12, so fit is limited unless Summit wants West Coast SPED/NEMT capability."
2280,Admired Limousine,CO,independent,independent,Maximus K (Owner per LinkedIn); listing also references 'V Saud' as owner,unknown,,2,3,limousine / livery / luxury ground transportation; not a school-bus operator,None identified; Denver-area private/corporate clients,"No M&A, growth, or safety news found",,low,Micro Denver-area limousine operator with no evidence of student or special-needs transport contracts; not a Summit tuck-in target.
2318,Cal-Med,CA,independent,independent,"[""Wasem Almansour (Operations)""]",unknown,,,4,"[""NEMT"", ""wheelchair-accessible medical transport""]","[""Medi-Cal qualifying individuals (DHCS approved)"", ""San Diego County medical patients""]",No M&A or notable news identified; operates as small NEMT provider in San Diego County region.,https://www.calmedtransport.com/,low,Not a school-bus operator. Micro NEMT/wheelchair transport with ~4 employees and ~$289K est. revenue. No identified school district contracts. Sub-scale and off-thesis for Summit tuck-in.
2322,JPD Inc Wheelchair Transport,WA,family-owned,independent,"[""Jim McGrahan (Owner)""]",medium,,,10,"[""NEMT"", ""wheelchair-accessible transport""]","[""Spokane Valley/Spokane area medical patients""]",Listed among top wheelchair transportation providers in Spokane area; estimated $500K-$1M revenue per third-party listings.,,low,"Not a school-bus operator; owner-operated NEMT/wheelchair transport in Spokane Valley. Owner-led small business with potential succession signal but off-thesis (no district contracts, no yellow buses). Skip for Summit tuck-in unless paired with broader SPED roll-up."
