a_rank_overlay,bench_rank_overlay,track,company,state,hq,w4_composite,overlay_pts_sum,overlay_composite,data_confidence,sub_sector_derived,scale_tier_derived,fleet_buses,drivers,founded,fmcsa_source,usdot,_sf,_su,_geo,_ind,_oh,_rel,composite,a_rank,bench_rank,valuation_attractiveness_pts,valuation_attractiveness_cite,valuation_attractiveness_flag,size_margin_signal_pts,size_margin_signal_cite,size_margin_signal_flag,succession_pts,succession_cite,succession_flag,driver_market_risk_pts,driver_market_risk_cite,driver_market_risk_flag,outsourcing_ev_mandate_pts,outsourcing_ev_mandate_cite,outsourcing_ev_mandate_flag,contract_renewal_timing_pts,contract_renewal_timing_cite,contract_renewal_timing_flag,ut_expansion_bonus_pts,ut_expansion_bonus_cite,ut_expansion_bonus_flag,iv_fleet_used,iv_fleet_source,iv_rev_low,iv_rev_point,iv_rev_high,iv_ebitda_low,iv_ebitda_point,iv_ebitda_high,iv_ev_mult_entry_low,iv_ev_mult_entry_point,iv_ev_mult_entry_high,iv_ev_perbus_low,iv_ev_perbus_point,iv_ev_perbus_high,iv_ev_entry_consensus_low,iv_ev_entry_consensus_high,iv_ev_build_8x_point,iv_value_creation_spread_point,iv_flag,iv_citation,da_revenue_est,da_employees,web_employees_est,da_size_tier,web_ownership_type,web_owner_or_parent,web_succession_signal,web_service_types,web_districts_or_customers,web_website
19,,A,Educational Bus Trnsprtn Inc,NY,"Hillburn, NY",99.0,44.8,143.8,1.0,Y,50-250,133,62,1962,census(medium),1209549,100,100,100,100,100,90,99.0,9,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1962 (business age=64y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,-4.2,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=NY/scale=all/sub=Y] ; State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=NY/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,133,census(medium),10374000,13034000,15029000,1607970,2606800,5109860,4823910,10427200,25549300,8911000,13300000,17290000,8911000,17290000,20854400,10427200,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),6637000,152,1500,small(2-5),family-owned,The Trans Group LLC (Corr family),low,"[""school"", ""special-needs"", ""charter"", ""transit""]","[""Copiague"", ""Massapequa"", ""Amityville"", ""Seaford"", ""Wantagh"", ""Farmingdale"", ""South Huntington"", ""Half Hollow Hills"", ""Bethpage"", ""Hicksville""]",thetransgroup.com
20,,A,Bedford Charter Svc,MA,"Bedford, MA",94.5,49.0,143.5,1.0,Y,50-250,117,51,1956,census(medium),2258632,100,100,70,100,100,90,94.5,56,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1956 (business age=70y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,117,census(medium),9126000,11466000,13221000,1414530,2293200,4495140,4243590,9172800,22475700,7839000,11700000,15210000,7839000,15210000,18345600,9172800,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),2428000,50,50,single,family-owned,independent,high,"[""school"", ""charter""]","[""Bedford Public Schools (MA) implied primary contract""]",https://www.bedfordcharterservice.com/
21,,A,George Dapper Inc,NJ,"Keasbey, NJ",94.5,49.0,143.5,1.0,Y,50-250,146,88,1946,census(high),242119,100,100,70,100,100,90,94.5,58,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1946 (business age=80y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,146,census(high),11388000,14308000,16498000,1765140,2861600,5609320,5295420,11446400,28046600,9782000,14600000,18980000,9782000,18980000,22892800,11446400,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),13878000,220,220,small(2-5),family-owned,"independent (Dapper family, 3rd generation)",high,"[""school"", ""special-needs (wheelchair-accessible vehicles)"", ""16/24-passenger school vans"", ""54-passenger full-size school buses""]","[""Middlesex County, NJ school districts (3 terminals: Iselin, Keasbey, Avenel)""]",https://www.dapbus.com
22,,A,Barker Bus Co,NJ,"Bound Brook, NJ",94.5,49.0,143.5,1.0,Y,50-250,80,71,1954,census(medium),803020,100,100,70,100,100,90,94.5,59,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1954 (business age=72y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,80,census(medium),6240000,7840000,9040000,967200,1568000,3073600,2901600,6272000,15368000,5360000,8000000,10400000,5360000,10400000,12544000,6272000,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),12102000,226,226,small(2-5),family-owned (privately held by Chesson family),independent (Peter Chesson / Chesson family),medium,"[""school (daily K-12 routes)"", ""athletic & field trips"", ""summer camp shuttles"", ""corporate shuttles""]","[""Districts in Somerset, Hunterdon, Middlesex, Union, and Essex Counties, NJ"", ""Transports 20,000-25,000 children per day""]",https://barkerbus.com (domain appears parked/for sale as of 2026)
23,,A,Raphael Irvin Inc,NJ,"East Brunswick, NJ",94.5,49.0,143.5,1.0,Y,50-250,130,137,1919,census(high),33955,100,100,70,100,100,90,94.5,61,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1919 (business age=107y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,130,census(high),10140000,12740000,14690000,1571700,2548000,4994600,4715100,10192000,24973000,8710000,13000000,16900000,8710000,16900000,20384000,10192000,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),2733000,55,150,small(2-5),family-owned,Raphael family (independent),medium,"[""school"", ""charter""]","[""East Brunswick area districts"", ""Operations into NYC"", ""Daycare, family event and line-run services""]",https://raphaelbus.com/
24,,A,Belair Transport Inc,NJ,"Orange, NJ",94.5,49.0,143.5,1.0,Y,50-250,101,105,1968,census(high),2913343,100,100,70,100,100,90,94.5,62,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1968 (business age=58y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,101,census(high),7878000,9898000,11413000,1221090,1979600,3880420,3663270,7918400,19402100,6767000,10100000,13130000,6767000,13130000,15836800,7918400,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),10315000,200,200,single,family-owned,Trapasso family (third generation); Michael Grassini Jr. listed as owner/exec,medium,"[""school""]","[""25+ NJ school districts incl. Newark, Livingston area; Newark Academy referenced""]",https://belairtransport.com
25,,A,Johannes Bus Svc,IL,"Rock Island, IL",94.5,49.0,143.5,1.0,Y,50-250,123,105,1962,census(medium),295723,100,100,70,100,100,90,94.5,65,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1962 (business age=64y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,123,census(medium),9594000,12054000,13899000,1487070,2410800,4725660,4461210,9643200,23628300,8241000,12300000,15990000,8241000,15990000,19286400,9643200,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),37132000,170,125,small(2-5),family-owned,Johannes family (independent),high,"[""school"", ""special-needs"", ""charter""]","[""Three area school districts in the Illinois Quad Cities (Rock Island/Moline area); originally founded under a verbal contract with a local Catholic school""]",https://johannesbus.com/
26,,A,Winkle Bus Co,CT,"West Haven, CT",94.5,49.0,143.5,1.0,Y,50-250,84,69,1953,census(medium),49069,100,100,70,100,100,90,94.5,71,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1953 (business age=73y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,84,census(medium),6552000,8232000,9492000,1015560,1646400,3227280,3046680,6585600,16136400,5628000,8400000,10920000,5628000,10920000,13171200,6585600,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),2517000,60,60,single,family-owned,independent,medium,"[""school""]","[""City of Milford (since early 1970s)"", ""City of West Haven"", ""North Haven"", ""Private schools: Lauralton Hall, Sacred Heart Academy, St. (others)""]",http://winklebusco.com/
27,,A,Herrera School Buses & Coaches,NM,"Albuquerque, NM",94.5,49.0,143.5,1.0,Y,50-250,128,137,1930,census(medium),252624,100,100,70,100,100,90,94.5,77,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1930 (business age=96y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,128,census(medium),9984000,12544000,14464000,1547520,2508800,4917760,4642560,10035200,24588800,8576000,12800000,16640000,8576000,16640000,20070400,10035200,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),1280000,15,15,single,family-owned,independent (Herrera family),high,"[""school"", ""charter"", ""special-needs""]","[""Albuquerque Public Schools (APS) \u2014 contract NOT renewed June 2024""]",http://www.herreracoach.com/
28,,A,Cottage Hill Co,IL,"Villa Park, IL",94.5,49.0,143.5,1.0,Y,50-250,109,72,1950,census(medium),2532984,100,100,70,100,100,90,94.5,82,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1950 (business age=76y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,109,census(medium),8502000,10682000,12317000,1317810,2136400,4187780,3953430,8545600,20938900,7303000,10900000,14170000,7303000,14170000,17091200,8545600,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),5868000,112,112,small(2-5),family-owned,independent (Peacock family; affiliated with Kabert Industries / Beck Bus Transportation),high,"[""school"", ""special-needs""]","Addison, Elmhurst, Lombard, Villa Park, Westmont - DuPage County/Chicago western suburbs; regular and special-ed contracts",cottagehilloperating.com
29,,A,Koch School Bus Svc,MN,"Waconia, MN",94.5,49.0,143.5,1.0,Y,50-250,148,150,1938,census(high),26881,100,100,70,100,100,90,94.5,85,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1938 (business age=88y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,148,census(high),11544000,14504000,16724000,1789320,2900800,5686160,5367960,11603200,28430800,9916000,14800000,19240000,9916000,19240000,23206400,11603200,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),3483000,83,175,small(2-5),family-owned,independent,low,"[""school"", ""van"", ""SPED/Head Start""]","Waconia Public Schools (ISD 110), Watertown-Mayer, Shakopee area districts; ~7,000 students daily across 94 routes; Head Start",https://kochbus.com
30,,A,John Leckie Inc,NJ,"Hackensack, NJ",94.5,49.0,143.5,1.0,Y,50-250,100,85,1958,census(high),828780,100,100,70,100,100,90,94.5,92,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1958 (business age=68y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,100,census(high),7800000,9800000,11300000,1209000,1960000,3842000,3627000,7840000,19210000,6700000,10000000,13000000,6700000,13000000,15680000,7840000,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),2181000,41,150,single,family-owned,"independent (Leckie family, 3rd generation)",medium,"[""school"", ""special-needs""]","Hackensack Public Schools, Ridgefield Public Schools, Torah Academy of Bergen County, South Bergen Jointure Commission, Region II Pascack Valley Council for Special Education; 70+ schools in northern NJ",https://johnleckieinc.wordpress.com/
31,,A,Holiday Express,NE,"Grand Island, NE",94.5,49.0,143.5,1.0,Y,50-250,99,99,1961,census(high),1104691,100,100,70,100,100,90,94.5,94,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1961 (business age=65y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,99,census(high),7722000,9702000,11187000,1196910,1940400,3803580,3590730,7761600,19017900,6633000,9900000,12870000,6633000,12870000,15523200,7761600,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),336000,8,8 per filing data; likely more seasonal drivers,single,family-owned,independent,low,"[""school"", ""charter/motorcoach"", ""limousine""]","[""Grand Island Public Schools (limited busing contract)""]",https://www.holidayexpressbus.com
32,,A,Johannes Bus Co,IL,"Galesburg, IL",94.5,49.0,143.5,1.0,Y,50-250,123,105,1973,census(medium),295723,100,100,70,100,100,90,94.5,97,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,20,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,15,master_targets.founded=1973 (business age=53y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,123,census(medium),9594000,12054000,13899000,1487070,2410800,4725660,4461210,9643200,23628300,8241000,12300000,15990000,8241000,15990000,19286400,9643200,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),424000,9,125+,single,family-owned,independent (Johannes family),medium,"[""school"", ""special-needs"", ""charter""]","Contracts with 3 area school districts in the Quad Cities (Illinois/Iowa); serves Catholic schools historically; primary HQ Rock Island, IL with Galesburg, IL satellite location",johannesbus.com
