a_rank,bench_rank,track,company,state,hq,composite,data_confidence,fleet_buses,drivers,founded,fmcsa_source,usdot,fmcsa_status,safety_rating,ownership_type,owner_or_parent,principals,succession_signal,service_types,districts,recent_news,website,size_tier,da_employees,da_revenue_est,fit_notes,_sf,_su,_geo,_ind,_oh,_rel,rank_old
,750,BENCH,Owner Bernhard Bus Svc,CT,"Westport, CT",64.0,0.4,,,2018,none,,,,unknown,unknown,[],unknown,"[""school (per source data)""]",[],"No verifiable web footprint for 'Bernhard Bus Svc' in Westport, CT. The source record's lead_exec field appears garbled ('Owner Bernhard Bus Svc') and the listed website 'Bluesy.Com' is not a bus company. Westport Public Schools currently contracts with First Student, not a Bernhard entity. 'Bernard Bus Service' exists but is in Chatfield, MN — different company.",unverified (Bluesy.com is not a bus company),small(2-5),46,2083000,Almost certainly a data-quality artifact (parse error / non-operator / possibly defunct). Not a credible tuck-in target without further entity verification.,80,40,70,60,50,90,350
,751,BENCH,Jones School Bus Svc,IL,"Belvidere, IL",64.0,0.4,,,2012,none,,,,unknown,unknown,"Steve Christison listed as President in source data (note: a Steve Christison is publicly identified as Contract Manager at Illinois Central School Bus / Wisconsin Central School Bus, suggesting possible name confusion or affiliation)",unknown,school (per source data; not confirmed online),"Unknown — Belvidere CUSD 100 is served by First Student (Illinois Central renewed/awarded), not Jones; possible smaller/private/parochial routes or Boone County area","No independent web presence, no news of sale or activity found. Belvidere SD 100's primary contractor is First Student per district website.","Not confirmed; data file's 'schoolbusfleet.com' is a trade publication, not the company site; no standalone corporate site located",small(2-5),113,8074000,"Low-confidence target — minimal digital footprint, district appears to be served by First Student, and the named exec may actually work at Illinois Central School Bus (Beacon Mobility-owned). Needs phone verification (815-544-1520) before further diligence; likely either very small/niche operator or a misattributed record.",80,40,70,60,50,90,526
,752,BENCH,E Providence Transfer Inc,RI,"Riverside, RI",64.0,0.4,,,1999,none,,,,unknown,independent (assumed),Joseph Pilosa (President),unknown,"Unverified - source data flags special_needs=1, school=0; name suggests transfer/taxi/freight service; website field in source ('Eastprovidenceri.Net') is the City of East Providence municipal site, not the company's",East Providence/Riverside RI area; not listed in RIDE or East Providence Public Schools transportation contracts,None found,No confirmed company website (source data field was incorrect - points to city of East Providence),single,4,249000,Insufficient online footprint to confirm as a school-bus operator. 4-employee single-tier company with PO Box address and no verifiable website. NOT a viable tuck-in target absent further offline verification.,50,85,70,60,50,75,1869
,753,BENCH,Special Care Transport Inc,OR,"Eugene, OR",64.0,0.4,,,1999,none,,,,unknown,independent,[],unknown,"[""NEMT"", ""special needs transport (likely)""]",[],"Minimal public footprint; appears on a Nextdoor business listing for Eugene but no website, news, or contract awards located. Source-data website 'transportrankings.com' is a directory aggregator, not the company's own site.","No confirmed corporate website (transportrankings.com is a third-party aggregator, not the operator's domain)",single,2,113000,"Likely micro NEMT/wheelchair van operator, not a yellow-bus contractor. Eugene 4J runs SPED transport in-house. 2 employees, ~$113K revenue. Not a Summit tuck-in target.",50,85,70,60,50,75,2490
,754,BENCH,State Of Art Transport New,FL,"Plantation, FL",64.0,0.2,,,2022,none,,,,unknown,independent,[],unknown,"[""special-needs"", ""NEMT"", ""paratransit""]",[],"No public news, M&A, or district contracts found; appears to be a small private operator in Plantation/Broward County area.",,single,15,1024000,"Sub-scale (~15 employees, ~$1M rev) Broward County operator; potential micro tuck-in if it has ESE/special-needs district routes, but no confirmed school-bus contract footprint and very low confidence in even being an active operator vs. broker.",80,25,100,60,50,75,598
,755,BENCH,Lincoln Park Bus Ctr Inc,MI,"Detroit, MI",64.0,0.2,,,2016,none,,,,unknown,independent,[],unknown,[],[],"No website or active operator footprint found. The address '3064 City Natl Bank Bldg, Detroit, MI 48226' is a suite in the historic City National Bank Building in downtown Detroit, which is a registered-agent/legal address rather than a bus yard, suggesting the entity may be dormant, dissolved, or a holding/dealer entity. Not on MDOT authorized bus carrier list.",,single,31,1471000,No evidence of active school-bus operations; downtown registered-agent address is inconsistent with a fleet operator. Likely a dormant or non-operating entity and not a viable Summit tuck-in target.,80,40,70,60,50,90,786
,756,BENCH,My Yellow School Bus,LA,"New Orleans, LA",64.0,0.2,,,2017,none,,,,unknown,independent,"[""Joseph Lamarque (listed in source data as 'Other')""]",unknown,"[""school""]",[],"No corroborating web presence found; not in Louisiana SOS search results, no website, no charter directory listing as of June 2026.",,single,28,1468000,"Tiny New Orleans operation (~28 employees, ~$1.5M revenue) at a residential-style Algiers address; unverifiable online. If real, too small/opaque for direct tuck-in without sourcing call.",80,40,70,60,50,90,788
,757,BENCH,Downs School Bus LLC,NM,"Truth Or Consequences, NM",64.0,0.2,,,2018,none,,,,unknown,independent,[],unknown,"[""school""]","[""likely Truth or Consequences Municipal Schools (Sierra County, NM)""]","No public news, ownership, or M&A signals located. NM PED contractor PDF did not surface a clear match in extracts; company has no website or working phone in source record.",,single,32,1343000,"Plausible small family contractor to T-or-C Municipal Schools in rural southwest NM. Sub-scale and very limited public footprint — would require direct outreach via the school district to confirm operator status, ownership and fleet.",80,40,70,60,50,90,810
,758,BENCH,Healthy School Bus LLC,CA,"Moreno Valley, CA",64.0,0.2,,,2015,none,,,,unknown,independent,[],unknown,"[""school""]",[],"No web footprint, news, or M&A activity located. The Eucalyptus Ave address maps to Stoneridge Towne Centre retail; likely a mailing/registered-agent address rather than a yard. Moreno Valley USD uses its own large EV fleet and First Student, not a small contractor.",,single,32,1315000,Unclear whether this is an active yellow-bus contractor or a non-emissions/EV consultancy using 'Healthy School Bus' branding. Low conviction tuck-in; needs CA Sec. of State and CHP SPAB certification check before pursuing.,80,40,70,60,50,90,815
,759,BENCH,Gravel Hill Community Bus Inc,MS,"Greenwood, MS",64.0,0.2,,,2012,none,,,,unknown,unknown (Thomas W Alford listed as Other in records),Thomas W Alford (per source data; role unverified),unknown,"[""school""]","Possibly affiliated with Greenwood Leflore Consolidated School District or local community/church transport in Leflore County, MS","No public news, website, or M&A activity located; name suggests a small community/church-affiliated bus entity rather than a commercial contractor",,single,31,1301000,"Very low online footprint; name 'Community Bus' implies possible church/community non-commercial entity rather than a contracted operator. MS public school transport is largely district-run, which weakens tuck-in thesis. Needs phone diligence before pursuing.",80,40,70,60,50,90,825
,760,BENCH,Bus Bus & Limoz Limoz,TX,"Houston, TX",64.0,0.2,,,2015,none,,,,unknown,independent,[],unknown,"[""charter bus"", ""limousine"", ""party bus""]",[],"No public website, news, or M&A activity located. Houston-area address (3400 Edloe St) is a commercial/office park location; name pattern and service mix strongly suggest charter/limo/party-bus rather than yellow-school-bus contracting.",,single,98,5426000,Name and Houston market positioning point to charter/limo/party-bus rather than contracted home-to-school yellow-bus service. Unverified school flag in source data; very low confidence as a school-bus tuck-in target. Recommend deprioritize unless direct outreach confirms K-12 district contracts.,80,40,70,60,50,90,967
,761,BENCH,Sarai School Bus Svc,TX,"Houston, TX",64.0,0.2,,,2017,none,,,,unknown,independent,"[""Sara Arjon (Manager)""]",unknown,"[""school""]","[""North Houston area, ZIP 77073 (Aldine ISD / Spring ISD footprint) - no district-contract confirmation""]","No web footprint identified - no website, no directory listings, no news. Address is a residential address in Houston (Terry Court Pl, 77073).",,single,32,1772000,Effectively invisible online; residential address suggests a one- or two-bus owner-operator. Not a viable standalone tuck-in target; potential only as an asset/driver acquisition if Summit builds North Houston density.,80,40,70,60,50,90,979
,762,BENCH,Private School Transit LLC,OH,"Toledo, OH",64.0,0.2,,,2012,none,,,,unknown,independent,"[""Mustapha Sulaiman""]",unknown,"[""school""]","[""Likely Toledo-area nonpublic/charter schools (Toledo Public Schools contracts transportation for parochial/charter students)""]","No public news found. LLC registered in OH; address at 401 Adams St #3 Toledo is a downtown commercial building (likely registered-agent / virtual office), suggesting a very small owner-operated contractor.",,single,31,1395000,"Sub-scale (~$1.4M rev, ~31 employees) micro-operator. Possibly viable as a tuck-in only if it holds Toledo-area nonpublic/charter contracts and provides route density; otherwise too small to move the needle. Diligence required to confirm operating status.",80,40,70,60,50,90,1218
,763,BENCH,To & From School Trnsprtn LLC,CT,"Norwalk, CT",64.0,0.2,,,2017,none,,,,unknown,independent,Not identified in public sources,unknown,"[""school"", ""special_needs""]",Likely Norwalk-area private/parochial schools or SPED routes; Norwalk Public Schools' primary contractor is a different vendor (ECS Transportation referenced),"No M&A, safety, or news coverage located. No active website or distinct online presence identified - typical of a very small CT LLC operating under Connecticut's 7D/SPV special pupil vehicle framework.",,single,14,588000,"Very small Fairfield County CT operator (~14 employees, ~$0.6M revenue) likely running SPED/7D vans rather than full-size school buses - low strategic value as a standalone tuck-in; could be additive only if Summit is building a CT special-needs cluster. Ownership unverified - needs direct outreach/CT SOTS lookup.",80,40,70,60,50,90,1304
,764,BENCH,Huffer Bus Planning,CA,"San Pedro, CA",64.0,0.2,,,2015,none,,,,unknown,independent,"[""Hal Huffer""]",unknown,"[""school""]",[],"No web presence found for 'Huffer Bus Planning' as an operating school-bus or charter contractor in San Pedro, CA (Jun 2026); listed at a residential-style San Pedro address (225 N Ellery Dr) with Hal Huffer as principal. Likely a small/private routing/consulting operation or LAUSD-area legacy contractor with no public footprint.",,single,11,552000,Sub-scale and undocumented — unlikely to be a meaningful Summit tuck-in. Could be confirmed only via direct outreach to Hal Huffer; otherwise deprioritize.,80,40,70,60,50,90,1310
,765,BENCH,Bryan Kamae School Trnsprtn,OR,"Portland, OR",64.0,0.2,,,2015,none,,,,unknown,independent,"[""Bryan Kamae""]",unknown,"[""school""]",[],"No public news, M&A activity, or web presence found as of 2026.",,single,21,985000,"Listed as a Portland, OR sole-proprietor school transportation business at residential address (821 SW Terwilliger Pl) with ~21 employees and ~$985K revenue. Very small scale; likely owner-operator van/route service rather than a full yellow-bus fleet. Limited tuck-in attractiveness for Summit absent fleet/contract verification.",80,40,70,60,50,90,1378
,766,BENCH,Lane's Professional Trnsprtn,TN,"Franklin, TN",64.0,0.2,,,2001,none,,,,unknown,independent,,unknown,"[""livery/limo (likely)""]",[],"No verifiable web presence found at 219 Cherry Dr, Franklin TN; Franklin Special School District runs in-house transportation (35 buses) so no obvious contract opportunity. Multiple similarly named unrelated entities (Lane Transportation LLC, Lane's Transportation Services LLC) exist nationally.",,single,5,415000,Not a fit. Residential-address listing (~5 employees) with no public school-bus or SPED footprint. Too small and unverified for Summit tuck-in.,50,85,70,60,50,75,2151
,767,BENCH,Hurst Limousines,IL,"Mchenry, IL",64.0,0.2,,,1996,none,,,,unknown,independent,"[""John Hurst (President)""]",unknown,"[""limousine/livery""]",[],"Address 212 Nippersink Dr, McHenry IL is a residential property (1,008 sqft single-family home sold $280K in 2023) per Redfin/Zillow, indicating a home-based micro-operator with no commercial presence. No website, no school-district affiliations located.",,single,5,395000,Not a Summit fit. Home-based 5-person limo operator in McHenry IL with no school-transport activity. Skip.,50,85,70,60,50,75,2166
,768,BENCH,DTS Personal Car Svc,NJ,"Atlantic City, NJ",64.0,0.2,,,1999,none,,,,unknown,independent,"[""P Douglas (Owner)""]",unknown,"[""personal car/limo"", ""possible NEMT/special needs""]",[],No web presence found; no school district contracts or M&A news identified.,,single,6,387000,"Not a fit. 6-person Atlantic City personal car/limo operator with no website, no school bus fleet, and no district contracts found. Source list flag 'special_needs=1, school=0' suggests NEMT/livery, not a school-bus tuck-in target.",50,85,70,60,50,75,2168
,769,BENCH,Security Limousine,NC,"Hampstead, NC",64.0,0.2,,,2001,none,,,,unknown,independent,unknown,unknown,limousine / livery; no evidence of school bus or special-needs student transportation,None identified,"No M&A, growth, or safety news found; not found in NC pupil-transportation listings",,single,6,300000,Tiny coastal NC limousine operator with PO Box address and no public web presence; no evidence of school-bus or SPED contracts. Not a viable Summit tuck-in target.,50,85,70,60,50,75,2281
,770,BENCH,Pacificoach,CA,"Encinitas, CA",64.0,0.2,,,1998,none,,,,unknown,unknown,[],unknown,"[""likely charter/limousine or small special-needs transport""]",[],"No public information identified; PO Box only address in Encinitas, CA suggests very small or non-active operator.",,single,4,289000,"Not confirmed as a school-bus operator. Listing flags special-needs but no district contracts, no website, only a PO Box. Likely sub-scale charter/coach name. Off-thesis for Summit tuck-in.",50,85,70,60,50,75,2319
,771,BENCH,Specialized Transport,NC,,64.0,0.2,,,1997,none,,,,unknown,independent,[],unknown,"[""special-needs/NEMT (suspected)""]",[],"No web presence found; phone 704-482-0703 not tied to any documented school-bus or NEMT operator. A FMCSA entity named 'Specialized Transport LLC' exists but is a Houston TX property carrier (USDOT 3673111), not the NC entity. NC company likely a micro/single-vehicle special-needs van operator with no online footprint.",,single,5,276000,"Not a viable Summit tuck-in: 5 employees, ~$276K revenue, no verifiable school-district contract footprint or fleet. Sub-scale even by tuck-in standards.",50,85,70,60,50,75,2343
,772,BENCH,Hurtado School Van LLC,FL,"Homestead, FL",64.0,0.2,,,2026,none,,,,family-owned,independent,[],unknown,"[""school""]","[""likely Miami-Dade / Homestead-area school routes""]","Brand-new 2026 LLC formation; no operating history, no website, no executive named in record.",,single,3,134000,"Newly formed micro school-van operator in Homestead; no scale, no track record — not a viable standalone Summit tuck-in candidate.",50,25,100,100,50,90,2667
,773,BENCH,Richards Luxury Limousines,ND,"Minot, ND",64.0,0.2,,,1994,none,,,,independent,independent,"[""Richard Leshovsky (Owner)""]",unknown,"[""limousine"", ""luxury ground transport""]",[],No public news found; no evidence of school district contracts or student transportation activity (2026).,,single,4,286000,"Micro luxury limo operator in Minot, ND. No evidence of school bus/special-needs student transport contracting. Not a fit as a school-bus tuck-in for Summit; tagging as special_needs in source data appears mis-classified.",50,85,30,100,50,75,2698
,774,BENCH,JRS Limousines,WI,"Marinette, WI",64.0,0.2,,,1992,none,,,,family-owned,independent,"[""Edward Land (Founder/President, deceased Aug 13, 2025, age 98)""]",high,"[""limousine"", ""charter/event transport""]","[""Green Bay Packers game charters (per obituary)""]","Founder Edward M. Land died Aug 13, 2025 at age 98; he started JRS Limousines after retiring from U.P. Machine in 1993, primarily driving clients to Packers games and events. Likely dormant or wound down.",,single,5,273000,"Micro limo operator on WI/MI border with founder deceased 2025; effectively a defunct one-man limo business, not a school-bus contractor. Not a Summit tuck-in candidate.",50,85,30,100,50,75,2702
,775,BENCH,Crosstown Transportation LTD,IL,"Chicago, IL",64.0,0.2,,,2001,none,,,,unknown,independent,,unknown,"[""special-needs"", ""livery""]","[""likely CPS special-needs individual student transport (unconfirmed)""]","South Shore Chicago Yelp listing exists; no M&A, ownership news, or web presence found as of 2026. Not affiliated with the unrelated NC-based Crosstown Transportation Services Inc (USDOT 284408, currently OUT-OF-SERVICE).",,single,3,227000,"3-employee operator at 7320 S Stony Island, Chicago; sub-scale livery-style special-needs contractor, not a yellow-bus fleet. Not a Summit tuck-in target.",50,85,70,60,50,75,2802
,776,BENCH,On The Way Transportation Svc,LA,"Keithville, LA",64.0,0.2,,,1987,none,,,,unknown,independent,[],unknown,"[""non-emergency medical/paratransit (likely)""]",[],"Yelp listing exists at 8808 Springridge Texas Line Rd, Keithville LA 71047 (Caddo Parish, Shreveport metro). No website, no LinkedIn, no evidence of school-bus or student-transportation contracts; 4 employees / ~$223K revenue is consistent with a single-van NEMT or livery operator. A Florida-based 'On The Way Transportation' (Port St. Lucie) is a separate, unrelated business.",,single,4,223000,"Not a fit for Summit tuck-in. Tiny rural Louisiana operator with no identifiable school-district relationships or special-needs school contracts; likely Medicaid NEMT, outside Summit's yellow-bus/SPED school platform.",50,85,70,60,50,75,2849
,777,BENCH,Road Runner Svc,MI,"Montgomery, MI",64.0,0.2,,,1997,none,,,,unknown,independent,"[""Chuck Scherdt (listed owner)""]",unknown,"[""special-needs/SPED transport (per source flag)""]","[""Unconfirmed; small operator based in Montgomery, MI (Branch County area, near IN border)""]","No M&A, ownership, or news coverage found via web search. Company has no website and minimal digital footprint.",,single,3,161000,"Too small to be a meaningful Summit tuck-in on its own (~3 employees, ~$161K revenue, likely 1-3 vans). Could only matter as a roll-up of multiple Branch County / SW Michigan micro-operators. Web presence is essentially nil; would require direct outreach to confirm school-district contracts vs. ad-hoc paratransit/livery work.",50,85,70,60,50,75,2993
,778,BENCH,Romy School Bus Transportation,FL,"Homestead, FL",64.0,0.2,,,2019,none,,,,family-owned,independent,"[""Manuela C Vasquez""]",unknown,"[""school bus""]","[""Miami-Dade County area (likely subcontract)""]",No web/news presence found; not identified on Miami-Dade DOT approved contractor lists in surfaced results. Likely a micro owner-operator subcontractor in Homestead.,,small(2-5),4,178000,Sub-scale (~4 employees) with no web footprint; not a viable Summit tuck-in target.,50,25,100,100,50,90,3181
,779,BENCH,J & J School Trnsprtn LLC,FL,"Homestead, FL",64.0,0.2,,,2019,none,,,,family-owned,independent,Aymee Alonso (Manager),unknown,"[""school""]",Likely Homestead/South Miami-Dade private school transport; not on the public M-DCPS approved private bus list. Note a separate 'J&J School Bus Transportation' (Miami) was voluntarily dissolved in 2021 per Sunbiz commentary; this LLC appears distinct.,No M&A or growth news found. Unrelated 'J&J School Bus Transportation' Florida profit corp dissolved 2021.,,single,2,89000,Micro single-bus LLC in Homestead (~$89k rev); too small to be an independent tuck-in target for Summit. Limited strategic value.,50,25,100,100,50,90,3265
,780,BENCH,Lucy Sanchez School Bus LLC,FL,"Miami Gardens, FL",64.0,0.2,,,2025,none,,,,family-owned,independent,Luz V Sanchez (Manager),unknown,"[""school""]","Likely Miami Gardens-area private school routes; no public customer list. Distinct from 'Lucy's School Transportation, LLC' (Orlando, document L21000148918).",None found in public sources as of 2026.,,single,2,89000,Single-vehicle owner-operator (~$89k rev) in Miami Gardens; not an independent tuck-in for Summit. Could only matter as a micro-acquisition inside a Dade-County roll-up.,50,25,100,100,50,90,3267
,781,BENCH,Rosy School Bus Inc,FL,"Miami, FL",64.0,0.2,,,2025,none,,,,family-owned,independent,"[""Rachel Arrate (President)""]",unknown,"[""school"", ""private school transport""]","[""Likely Miami-Dade County Public Schools approved private bus company""]",No M&A or news found; entity appears very recently formed (2025) per provided data.,,single,2,89000,"Single-vehicle micro-operator (~$89K revenue, 2 employees) in Miami-Dade private bus market. Too small for direct Summit tuck-in; only relevant as a potential roll-in if Summit aggregates many Miami-Dade owner-operators.",50,25,100,100,50,90,3268
,782,BENCH,Y School Bus Inc,FL,"Miami, FL",64.0,0.2,,,2019,none,,,,family-owned,independent,"[""Mayelin Paez (Owner)""]",unknown,"[""school"", ""private school transport""]","[""Likely Miami-Dade County Public Schools approved private bus operator (SW Miami-Dade)""]",No M&A or news identified; no website found.,,single,2,89000,"Owner-operator scale (~$89K revenue, 2 employees, single bus). Below Summit's tuck-in size threshold; relevant only in an aggregate Miami-Dade owner-op consolidation thesis.",50,25,100,100,50,90,3270
,783,BENCH,Jlo School Transportation LLC,FL,"Naples, FL",64.0,0.2,,,2025,none,,,,family-owned,independent,"[""Jennifer Lopez (Owner)""]",unknown,"[""school"", ""private school transport""]","[""Likely Collier County area (Naples) private school transport; competes with Rita's, May's School Transportation""]",Newly formed (2025) per provided data; no M&A or news footprint identified.,,single,2,84000,Newly-formed single-vehicle Naples-area micro-operator (~$84K revenue). Not a viable Summit tuck-in target on its own; too small and too new.,50,25,100,100,50,90,3271
,784,BENCH,E-Z Way Limousine,NJ,"Edgewater, NJ",64.0,0.2,,,2001,none,,,,unknown,independent,"A Galantestillit (President, per source list)",unknown,"limousine/livery; possible SPED contract transport (an 'E Z Way Transportation Inc.' appears in NJDOE school bus contractor codes, but it's unclear if the same entity)",unknown; possible NJDOE-registered contractor under similar name,"No M&A, growth or safety news found (2024-2026).",,single,2,159000,Micro-operator in Edgewater NJ (Bergen County); ~$159k revenue. Far below platform threshold but could be a niche SPED livery contractor. Not a meaningful tuck-in; possible relevance only if a route book overlaps Summit districts.,50,85,70,60,50,75,3369
,785,BENCH,Trinity Transport3 LLP,SC,"Columbia, SC",64.0,0.2,,,1997,none,,,,unknown,independent,"[""Sheila Shy (Manager)""]",unknown,"[""NEMT/special-needs transport (possible)""]",[],No web presence or news found. Multiple unrelated 'Trinity' transportation entities exist nationally; no SC school-district contract or M&A activity identified for this LLP.,,single,2,140000,"Micro operator (2 employees, ~$140K revenue, no website, no listed phone). Likely independent NEMT/medical-transport, not a school-district SPED contractor. Not a viable Summit tuck-in target.",50,85,70,60,50,75,3655
,786,BENCH,Dependable Transit Svc LLC,FL,"Lake City, FL",63.5,0.2,,,2002,none,,,,unknown,independent,"[""Tony D. Johnson""]",unknown,"[""special-needs/NEMT/paratransit (likely)""]",[],"No web presence, news, or district-contract record found for this Lake City, FL micro-operator; Columbia County paratransit is coordinated under the FL CTD framework, not by this entity at scale.",,single,4,245000,"4-employee, ~$245K revenue residential-address LLC; almost certainly Medicaid NEMT, not school-bus. Not an actionable Summit tuck-in.",50,60,100,60,50,75,2389
,787,BENCH,West Central GA Transportation,GA,,63.5,0.2,,,2011,none,,,,unknown,independent,[],unknown,"[""special-needs/NEMT-likely""]",[],No web presence or address on file; phone (404) 387-4319 ties to Atlanta metro. No M&A or news located.,,single,4,228000,"Sub-scale (~4 employees, ~$228K rev), no confirmed school-bus operations, no website. Not a tuck-in candidate.",50,60,100,60,50,75,2406
,788,BENCH,Alliance Transport Svc,FL,"Daytona Beach, FL",63.5,0.2,,,2010,none,,,,unknown,independent,[],unknown,"[""non-emergency medical/wheelchair transport (likely)""]",[],"No school-bus connection found. Multiple unrelated 'Alliance Transportation' entities nationwide (auto-hauler in S. FL, FMCSA carrier DOT 1705622). Daytona Beach 3-employee entry at residential-style address suggests micro NEMT/paratransit, not school transport.",,single,3,199000,"Sub-scale (3 employees) likely NEMT operator, not a school district contractor. Not a credible Summit tuck-in target.",50,60,100,60,50,75,2422
,789,BENCH,A Touch Of Class Limo Svc,FL,"Port Orange, FL",63.5,0.2,,,2003,none,,,,unknown,independent,"[""Joe Lawler Jr."", ""Susan M. Lawler""]",unknown,"[""limo/livery"", ""possibly special-needs/NEMT""]",[],"Florida corporation 'A Touch Class Limo Service Inc' (P03000098809) filed 9/9/2003 at 5620 Palm Ave, Port Orange; status INACTIVE — administratively dissolved 10/1/2004 for failure to file annual report. No evidence of active school-bus contracting; entity appears defunct.",,single,2,133000,"Not a fit. Two-employee livery/limo entity at a residential-style address, administratively dissolved 20+ years ago; no confirmed school-district contracts or yellow-bus fleet. Skip for Summit tuck-in.",50,60,100,60,50,75,3133
,790,BENCH,Shores Transport,FL,"Miami, FL",63.5,0.2,,,2007,none,,,,unknown,independent,[],unknown,"[""special-needs/NEMT (likely)""]",[],"No public news or web presence located; appears to be a very small operator at 415 NE 111th St, Miami. No school district contracts found.",,single,2,131000,"Not a fit. 2 employees, ~$131K revenue, no confirmed school-bus operations or fleet. Likely sole-proprietor medical/paratransit van service, not a tuck-in candidate for Summit.",50,60,100,60,50,75,3148
,791,BENCH,Wheels Fargo,AZ,"Phoenix, AZ",63.2,0.6,5,5,2023,census(medium),4133073,A,,unknown,independent,"[""Steve Owens (Owner)""]",unknown,"[""special-needs/NEMT (suspected)""]",[],No web presence found; not located in directories of AZ school bus contractors. Likely very small NEMT/paratransit micro-operator; no school district contracts identified.,,single,7,527000,"Sub-scale (7 employees, ~$527K revenue, PO box address) with no confirmed school-district business or web footprint. Not a credible Summit tuck-in target absent further confirmation.",65,25,70,60,100,75,2103
,792,BENCH,Midwest Transportation,MO,"Kansas City, MO",63.2,0.6,5,3,2012,census(high),2267281,I,,unknown,unknown,"[""Richard Fisher (Owner \u2014 per source list)""]",unknown,"[""likely livery/NEMT (unverified)""]",[],"No verifiable web presence at 809 W 39th St, Kansas City MO under this name; multiple unrelated 'Midwest Transit/Transport' entities operate in the KC metro. No school-district contracts identified.",,single,3,212000,Not a fit. Three-employee KC micro-operator with no confirmed school-bus or SPED business; below Summit's tuck-in size threshold.,65,40,100,60,50,75,2411
,793,BENCH,We Care Transportation Inc,MN,"Mound, MN",63.2,0.6,6,4,2019,census(medium),3291859,A,,unknown,independent,[],unknown,"[""NEMT"", ""medical transport"", ""wheelchair/van""]",[],"Multiple unrelated 'We Care Transportation' entities exist in MN/WI. Mound, MN PO Box entity (USDOT 2420920 / Montrose, MN) appears to be a small NEMT carrier; no school-bus or district contracts surfaced.",,small(2-5),8,571000,"Likely NEMT/medical transport rather than student transportation; sub-scale (8 employees, ~$571K rev). Not an attractive Summit tuck-in target.",65,25,70,60,100,75,2635
,794,BENCH,Hill's Bus Svc Inc,DE,"Houston, DE",63.2,0.6,8,10,2000,census(medium),909169,I,,unknown,independent,JAY A HILL | DENICE E HILL,unknown,"[""school""]","Possibly local Kent County, DE district (Caesar Rodney or Lake Forest area) - unconfirmed",No public web presence; no news or M&A activity located,,single,3,123000,Micro single-route DE operator with no digital footprint and only 3 employees; too small to be a meaningful Summit tuck-in unless rolled up with other Kent County DE micro-contractors.,65,85,30,60,50,90,3193
,795,BENCH,Class Act Limousine,TX,"Austin, TX",63.2,0.6,9,8,2022,census(medium),3908350,A,,unknown,independent,"[""Larry Hargrove (Operation Exec)""]",unknown,"[""limo/livery""]",[],No verified web presence for Austin TX 'Class Act Limousine'; not listed in Austin's permitted ground-transportation provider roster. Distinct from 'A Class Act Limousine' and 'Class Act Transportation' (Chicagoland).,,single,2,163000,Not a fit. 2-employee Austin TX livery with no evidence of being a school-bus or SPED contractor; also outside Summit's core Northeast/Midwest footprint.,65,25,70,60,100,75,3357
,796,BENCH,B & M Bus Charter Inc,NY,"Brooklyn, NY",63.0,0.8,1,5,2022,agent,3999029,ACTIVE; operating authority NOT AUTHORIZED for interstate for-hire,Satisfactory (04/17/2026),unknown,unknown,Not publicly identified (no officer info disclosed in NYS filing),unknown,"[""charter"", ""possible school""]","None publicly identified; entity address is residential/commercial mixed block in Sunset Park, Brooklyn (368 60th St)","Incorporated as a NY Business Corporation on December 14, 2022; active status; no news coverage, no FMCSA snapshot prominently linked, no website found",None identified,small(2-5),19,1466000,"De minimis target. Newly formed (2022) Brooklyn charter entity with no discoverable web presence, no website, no named principals, and no confirmed school-bus contracts. Too small/opaque for Summit to prioritize without phone-based qualification; likely a single-owner charter startup rather than a school-bus contractor.",40,25,100,60,100,90,1136
,797,BENCH,Sunshine City Bus Solutions,FL,"Saint Petersburg, FL",63.0,0.6,1,2,2025,census(medium),4427546,A,,unknown,independent,[],unknown,"[""school""]",[],"No web, FMCSA, or Pinellas County Schools vendor references located. Pinellas County Schools self-operates 333 buses internally; St. Pete-area private school-bus contracting is limited. Company may be small charter/shuttle DBA rather than dedicated school-bus operator.",,single,24,1028000,Inability to verify operations or school-district contracts is a red flag; Pinellas runs its own fleet so private school-bus tuck-in opportunity in St. Pete is structurally narrow. Deprioritize pending direct outreach confirmation.,40,25,100,60,100,90,501
,798,BENCH,School Bus Stops Of AL Inc,AL,"Huntsville, AL",63.0,0.6,2,2,1991,census(medium),441011,I,,unknown,unknown,"[""Jerry M Smith (Manager)""]",unknown,[],[],"No web presence located. Address (1019A Old Monrovia Rd NW Suite 208, Huntsville) is an office-suite, atypical for a yellow-bus contractor with a yard/fleet. Huntsville City Schools' contracted operator is First Student (formerly AppleBus), not this entity. Name 'School Bus Stops' suggests possible routing/consulting/stop-signage business rather than a contractor.",,single,44,1928000,"Likely NOT a school-bus operator/tuck-in target. Office-suite location, no fleet evidence, and Huntsville district already contracted to First Student suggest this is a routing-services, signage, or non-operator entity. Recommend phone-screen Jerry Smith to confirm before any further work; if not an operator, drop.",40,85,70,60,50,90,727
